Method,Variable,Coef,HAC SE,t-stat,p-value,target
Fwd (Cp),surp_gdp,-0.0002750889875904092,0.00011769398395424561,-2.337324120979302,0.01960686027205984,ret_CADUSD
Fwd (Cp),surp_retsailes_x_vix,0.00042997217798147047,0.00019321894046489587,2.225310712018877,0.026269190932767694,ret_CADUSD
Fwd (Cp),surp_ism_pmi_x_vix,-0.0003977142008443325,0.0002521628552624055,-1.5772116810402685,0.11504379473654172,ret_CADUSD
Fwd (Cp),surp_dgorders_x_vix,0.00040144468010489226,0.0003719646769466216,1.079254845917805,0.28071849747025585,ret_CADUSD
Fwd (Cp),surp_consconfid_x_vix,0.00027061663700036115,0.00010982780347848564,2.464008460784456,0.013896399135097635,ret_CADUSD
Bwd (Cp),surp_gdp,-0.00027525941193693967,0.0001180022131529383,-2.332663130480325,0.019851897245511025,ret_CADUSD
Bwd (Cp),surp_corecpi_x_vix,0.00038950828148423425,0.0001995532232110158,1.9519017293564442,0.05121240767429057,ret_CADUSD
Bwd (Cp),surp_retsailes_x_vix,0.00042967910610161304,0.00019386895438957262,2.216337873459556,0.026879687726070994,ret_CADUSD
Bwd (Cp),surp_ism_pmi_x_vix,-0.00039810624880638577,0.00025234023529743116,-1.5776566441619646,0.11494231398691906,ret_CADUSD
Bwd (Cp),surp_dgorders_x_vix,0.00040139778404545904,0.00037243826094167154,1.0777565737488044,0.2813871452152403,ret_CADUSD
Bwd (Cp),surp_consconfid_x_vix,0.0002700964872757073,0.00011028729976634876,2.4490262056277134,0.014485069102799156,ret_CADUSD
Bwd (Cp),surp_cpi_x_vix,-0.0003102310230517548,0.0002981146147446874,-1.0406434562674634,0.2982779040018392,ret_CADUSD
Bwd (Cp),surp_indprod_x_vix,-0.00012522772261240822,7.103873538032462e-05,-1.7628090075360796,0.07822029499060289,ret_CADUSD
Ridge,surp_nfp,2.5629646309428642e-12,,,,ret_CADUSD
Ridge,surp_unemp,1.5718380003447954e-11,,,,ret_CADUSD
Ridge,surp_corecpi,-3.927419566204335e-12,,,,ret_CADUSD
Ridge,surp_gdp,-1.7867912340583913e-11,,,,ret_CADUSD
Ridge,surp_retsailes,1.110071747077277e-11,,,,ret_CADUSD
Ridge,surp_ism_pmi,-1.2280932822329588e-11,,,,ret_CADUSD
Ridge,surp_dgorders,7.868312319320197e-12,,,,ret_CADUSD
Ridge,surp_newhomesales,5.172530741277609e-12,,,,ret_CADUSD
Ridge,surp_consconfid,1.4622431659878756e-11,,,,ret_CADUSD
Ridge,surp_avghourlyearnmings,-5.057323396188437e-12,,,,ret_CADUSD
Ridge,surp_cpi,-2.7164186721020473e-12,,,,ret_CADUSD
Ridge,surp_tradebal,1.1177990295412594e-11,,,,ret_CADUSD
Ridge,surp_indprod,-1.2113715607147487e-11,,,,ret_CADUSD
Ridge,surp_fedratedec,3.5274918414793107e-13,,,,ret_CADUSD
Ridge,surp_nfp_x_vix,-8.301953182108245e-12,,,,ret_CADUSD
Ridge,surp_unemp_x_vix,9.885397319659244e-12,,,,ret_CADUSD
Ridge,surp_corecpi_x_vix,2.3435129628632694e-11,,,,ret_CADUSD
Ridge,surp_gdp_x_vix,-8.043136177436367e-12,,,,ret_CADUSD
Ridge,surp_retsailes_x_vix,7.456230878015455e-11,,,,ret_CADUSD
Ridge,surp_ism_pmi_x_vix,-3.248096716144447e-11,,,,ret_CADUSD
Ridge,surp_dgorders_x_vix,2.9198803624283187e-11,,,,ret_CADUSD
Ridge,surp_newhomesales_x_vix,3.0273266912256294e-12,,,,ret_CADUSD
Ridge,surp_consconfid_x_vix,4.688945520210404e-11,,,,ret_CADUSD
Ridge,surp_avghourlyearnmings_x_vix,-1.5001531068048163e-11,,,,ret_CADUSD
Ridge,surp_cpi_x_vix,-1.9927377242250984e-11,,,,ret_CADUSD
Ridge,surp_tradebal_x_vix,4.079806720165973e-12,,,,ret_CADUSD
Ridge,surp_indprod_x_vix,-3.3718001346835516e-11,,,,ret_CADUSD
Ridge,surp_fedratedec_x_vix,-9.998630711452958e-13,,,,ret_CADUSD
Fwd (Cp),surp_unemp,0.0006206358893630901,0.0002461182733632221,2.5216977223269956,0.011823963672721495,ret_EURUSD
Fwd (Cp),surp_corecpi_x_vix,0.00031893677534036496,0.0002599994166057758,1.2266826576151628,0.22021301063094895,ret_EURUSD
Fwd (Cp),surp_gdp_x_vix,-0.0004715822284623883,0.00013093735829399197,-3.60158654952814,0.00033086858516832466,ret_EURUSD
Fwd (Cp),surp_retsailes_x_vix,0.00022186501257527474,0.0001339614071798467,1.6561860407857252,0.09797872384725978,ret_EURUSD
Fwd (Cp),surp_cpi_x_vix,-0.00038888740919441157,0.00031364089609662134,-1.2399129515132157,0.2152807168514839,ret_EURUSD
Bwd (Cp),surp_unemp,0.0006206358893630901,0.0002461182733632221,2.5216977223269956,0.011823963672721495,ret_EURUSD
Bwd (Cp),surp_corecpi_x_vix,0.00031893677534036496,0.0002599994166057758,1.2266826576151628,0.22021301063094895,ret_EURUSD
