date,vix_main_effect,surp_nfp,surp_unemp,surp_corecpi,surp_gdp,surp_retsailes,surp_ism_pmi,surp_dgorders,surp_newhomesales,surp_consconfid,surp_avghourlyearnmings,surp_cpi,surp_tradebal,surp_indprod,surp_fedratedec,VIXCLS
2005-02-02,0.0002033106731983681,1.7623933808739171e-06,9.98006194927614e-07,0.0,0.0,4.9622418891467846e-08,0.0,1.4230429633257742e-07,1.4670725714335026e-06,7.979423950700271e-07,0.0,0.0,1.0034160807385351e-07,1.9184405755992107e-07,0.0,0.0002033106731983681
2005-02-04,0.00016446737271605594,-2.7229848797628503e-05,-1.077276091296312e-05,0.0,0.0,-1.9457490253788003e-08,0.0,6.886653961759067e-08,8.192141539539963e-07,5.041203020333175e-07,0.0,0.0,1.0034160807385351e-07,1.9184405755992107e-07,0.0,0.00016446737271605594
2005-02-10,0.00014647053058130654,1.8717965315817812e-06,7.02326828297637e-07,0.0,0.0,-1.745309563967355e-07,0.0,1.4230429633257742e-07,1.066368956549157e-06,7.641148945768449e-07,0.0,0.0,1.0034160807385351e-07,1.9184405755992107e-07,0.0,0.00014647053058130654
2005-02-15,0.00016418352037003855,1.8717965315817812e-06,7.02326828297637e-07,0.0,0.0,-2.278247271935034e-06,0.0,1.4230429633257742e-07,1.066368956549157e-06,7.641148945768449e-07,0.0,0.0,1.0034160807385351e-07,1.9184405755992107e-07,0.0,0.00016418352037003855
2005-02-16,0.00016418352037003855,1.8717965315817812e-06,7.02326828297637e-07,0.0,0.0,-1.745309563967355e-07,0.0,1.4230429633257742e-07,1.066368956549157e-06,7.641148945768449e-07,0.0,0.0,1.0034160807385351e-07,-2.632100469722116e-06,0.0,0.00016418352037003855
2005-02-23,-0.0006287994612700544,-3.4084843293632237e-06,-3.2797651695211075e-06,0.0,0.0,-2.410611623936753e-06,0.0,-4.0121972550280844e-07,-3.000309994208557e-06,-1.348199839627062e-06,0.0,0.0,-4.7535202426735744e-07,-3.086460371189766e-07,0.0,-0.0006287994612700544
2005-02-24,0.00016110131262194133,2.128922894433127e-06,7.934876722945277e-07,0.0,0.0,-1.745309563967355e-07,0.0,1.4230429633257742e-07,1.2119749338270714e-06,7.979423950700271e-07,0.0,0.0,1.0034160807385351e-07,1.9184405755992107e-07,0.0,0.00016110131262194133
2005-02-28,-0.0005069267590091038,-1.4480836924433812e-06,-2.0787279747067013e-06,0.0,0.0,-2.0998898773768784e-06,0.0,-4.0121972550280844e-07,3.493992297634353e-05,-4.610890121941754e-07,0.0,0.0,-4.7535202426735744e-07,-3.086460371189766e-07,0.0,-0.0005069267590091038
2005-03-01,-0.0004054733390864353,-1.5519184779491247e-06,-1.867848937799899e-06,0.0,0.0,-1.8579347485521355e-06,0.0,-1.2578577375887332e-07,-1.990486843593184e-06,-1.3985287155737323e-07,0.0,0.0,-1.1497823808428243e-07,-3.086460371189766e-07,0.0,-0.0004054733390864353
2005-03-04,-0.000412315013334028,-1.5519184779491247e-06,-1.867848937799899e-06,0.0,0.0,-1.8579347485521355e-06,0.0,-1.2578577375887332e-07,-1.990486843593184e-06,-1.3985287155737323e-07,0.0,0.0,-1.1497823808428243e-07,-3.086460371189766e-07,0.0,-0.000412315013334028
2005-03-11,-0.000515667950976323,-2.2164156310492534e-06,-2.165998777397042e-06,0.0,0.0,-7.985335449119007e-07,0.0,-5.608608611809711e-07,-1.6246953527635798e-06,-1.2262084500517452e-06,0.0,0.0,1.7613661014683092e-06,1.3223064108181646e-07,0.0,-0.000515667950976323
2005-03-15,0.00011774819867722369,2.388291735679626e-06,2.048433186174211e-06,0.0,0.0,-1.6073541646083447e-05,0.0,-5.608608611809711e-07,-1.8670145487232162e-07,5.917527754142327e-07,0.0,0.0,2.3228428139596798e-07,1.3223064108181646e-07,0.0,0.00011774819867722369
2005-03-16,0.000620986978432199,3.586434452633644e-06,2.6440990058626305e-06,0.0,0.0,2.6782679079084848e-06,0.0,3.320368415839302e-09,2.419948463057687e-06,1.1738760168846824e-06,0.0,0.0,4.9607941094255e-07,2.4493310620033e-06,0.0,0.000620986978432199
2005-03-22,-0.00016849204006967123,-2.0462353984624926e-06,-3.4633640152085295e-06,0.0,0.0,-9.696059128335298e-07,0.0,-1.3224986411650236e-07,-4.6990409053999754e-08,-3.8435627259836415e-07,0.0,0.0,-4.540772351906304e-09,2.0555910986575486e-07,0.0,-0.00016849204006967123
