date,vix_main_effect,surp_nfp,surp_unemp,surp_corecpi,surp_gdp,surp_retsailes,surp_ism_pmi,surp_dgorders,surp_newhomesales,surp_consconfid,surp_avghourlyearnmings,surp_cpi,surp_tradebal,surp_indprod,surp_fedratedec,VIXCLS
2005-02-02,0.0005118166085408105,9.028135172703307e-07,1.3566972819462428e-06,0.0,0.0,0.0,1.0206747352605155e-06,2.3153899403261455e-07,1.1411017104947388e-06,1.4243490220634798e-06,0.0,0.0,2.0413403720599174e-07,0.0,0.0,0.0005118166085408105
2005-02-04,0.0005664258930173636,-9.203617385745688e-06,-1.6379348247678392e-05,0.0,0.0,0.0,8.069799439097759e-07,9.832708522784813e-08,1.4334091863114955e-06,1.307979980418664e-06,0.0,0.0,2.0413403720599174e-07,0.0,0.0,0.0005664258930173636
2005-02-10,0.00045840187776153294,7.338773983335526e-07,1.033276279520516e-06,0.0,0.0,0.0,8.069799439097759e-07,1.8360025009332528e-07,1.4863973618373015e-06,1.4243490220634798e-06,0.0,0.0,-2.5190140191219372e-06,0.0,0.0,0.00045840187776153294
2005-02-15,0.0005662561394293391,7.338773983335526e-07,1.033276279520516e-06,0.0,0.0,0.0,8.069799439097759e-07,1.8360025009332528e-07,1.4863973618373015e-06,1.4243490220634798e-06,0.0,0.0,2.0413403720599174e-07,0.0,0.0,0.0005662561394293391
2005-02-16,0.0005662561394293391,7.338773983335526e-07,1.033276279520516e-06,0.0,0.0,0.0,8.069799439097759e-07,1.8360025009332528e-07,1.4863973618373015e-06,1.4243490220634798e-06,0.0,0.0,2.0413403720599174e-07,0.0,0.0,0.0005662561394293391
2005-02-23,0.00011770300962432064,3.3255330016593805e-07,7.65185184768134e-08,0.0,0.0,0.0,4.360517249733703e-07,-2.1723200079803992e-07,5.320359565327203e-07,5.93890674244041e-07,0.0,0.0,-1.8989830535594566e-07,0.0,0.0,0.00011770300962432064
2005-02-24,0.0004985063398537529,7.338773983335526e-07,1.395179046214123e-06,0.0,0.0,0.0,8.069799439097759e-07,-3.46433166509873e-06,1.7349384780426307e-06,1.4243490220634798e-06,0.0,0.0,2.0413403720599174e-07,0.0,0.0,0.0004985063398537529
2005-02-28,-0.0003038794656159556,3.9689502268251057e-07,-6.935675184562899e-07,0.0,0.0,0.0,-8.587266616690683e-07,-4.599493906397955e-08,1.460822128451306e-05,-1.0608100244180571e-06,0.0,0.0,2.0413403720599174e-07,0.0,0.0,-0.0003038794656159556
2005-03-01,-0.00030389731489397095,3.9689502268251057e-07,-6.667936014333429e-07,0.0,0.0,0.0,-1.955380694287771e-06,-4.599493906397955e-08,-1.0148814507611714e-06,-1.0608100244180571e-06,0.0,0.0,2.0413403720599174e-07,0.0,0.0,-0.00030389731489397095
2005-03-04,-0.00028980718431504716,-5.865331909037203e-07,-3.940512119426307e-07,0.0,0.0,0.0,-8.587266616690683e-07,-4.599493906397955e-08,-1.0148814507611714e-06,-1.0608100244180571e-06,0.0,0.0,2.0413403720599174e-07,0.0,0.0,-0.00028980718431504716
