date,vix_main_effect,surp_nfp,surp_unemp,surp_corecpi,surp_gdp,surp_retsailes,surp_ism_pmi,surp_dgorders,surp_newhomesales,surp_consconfid,surp_avghourlyearnmings,surp_cpi,surp_tradebal,surp_indprod,surp_fedratedec,VIXCLS
2005-02-02,0.0012527492639770037,-1.6930700551998316e-06,-2.4635287840958024e-06,0.0,0.0,2.9862984135895084e-06,1.065680546058508e-06,4.3061960916623525e-06,4.383562639384375e-06,-3.2508703772581243e-07,-5.996563503969556e-07,1.6740510862202455e-07,1.7856040225616704e-06,6.356088359421446e-07,0.0,0.0012527492639770037
2005-02-04,0.001916696060182991,-4.1005381666092486e-05,3.48403223396575e-05,0.0,0.0,4.625700120981478e-06,1.0876861753475875e-05,5.167113644485437e-06,5.410026360782149e-06,-1.1319949712607056e-05,-8.41497509947753e-06,5.281953023321229e-07,3.027683460845413e-06,2.0628257245452013e-06,0.0,0.001916696060182991
2005-02-10,0.0015812862900339804,4.32391315103168e-07,-2.4635287840958024e-06,0.0,0.0,3.996308890626611e-06,9.401782633964692e-06,2.838209917936424e-06,5.599905899458457e-06,3.1912375163802193e-06,-5.327657758460438e-07,1.6740510862202455e-07,-6.063693833397142e-06,1.965102284945328e-06,0.0,0.0015812862900339804
2005-02-15,0.0019223618173782257,5.348406531608357e-06,-2.4635287840958024e-06,0.0,0.0,-4.2841713264751236e-05,8.86709518796598e-06,4.937831765321395e-06,6.292967246922364e-06,3.2286818465466396e-06,6.051943347913347e-07,1.6740510862202455e-07,2.791513608291507e-06,2.174539764757533e-06,0.0,0.0019223618173782257
2005-02-16,0.002008717476522935,6.560613369004749e-06,-2.4635287840958024e-06,0.0,0.0,4.8165698349115966e-06,9.546321303331475e-06,4.937645445391711e-06,6.971870775463677e-06,3.2286818465466396e-06,2.6068828031668915e-07,1.6740510862202455e-07,1.5058413184025886e-06,-3.351855492289206e-05,0.0,0.002008717476522935
2005-02-23,0.0010343208679177238,-2.2812614317717292e-06,-1.8788292617837637e-06,0.0,0.0,-5.933672916964733e-07,-1.7559018754835886e-06,3.489916176241666e-06,4.383562639384375e-06,-3.2508703772581243e-07,-5.996563503969556e-07,-3.2288780153856203e-06,1.7856040225616704e-06,6.356088359421446e-07,0.0,0.0010343208679177238
2005-02-24,0.0013725860324108861,-5.695213820777465e-07,-2.3698785596668925e-06,0.0,0.0,3.05868718127442e-06,3.3202476147431225e-06,1.0189317445036857e-06,4.383562639384375e-06,4.718163539772237e-07,-5.998518941930722e-07,1.8199675566241608e-07,1.5051001109463395e-06,2.174375037603006e-06,0.0,0.0013725860324108861
2005-02-28,0.0010584842285034206,-3.116059796554465e-06,-2.4635287840958024e-06,0.0,0.0,-7.384111568591727e-07,-1.0475081525464524e-06,4.3061960916623525e-06,-3.283518840980324e-05,-6.001663094537882e-07,-3.536316709181766e-07,1.6740510862202455e-07,1.7856040225616704e-06,4.370908208361249e-07,0.0,0.0010584842285034206
2005-03-01,0.0010564931950511145,-1.4427865151491636e-06,-1.9787299123252203e-06,0.0,0.0,-8.13736343630765e-07,3.912576327005031e-05,4.3061960916623525e-06,4.215480260083145e-06,3.07444351760159e-07,-2.002783847798687e-07,1.6740510862202455e-07,1.6994227218742472e-06,4.227788750281174e-07,0.0,0.0010564931950511145
2005-03-04,0.0011912686668010197,2.8601135870965618e-05,-2.4635287840958024e-06,0.0,0.0,1.1057591591324074e-06,2.2434333954355205e-07,4.332618622927347e-06,4.686710588456437e-06,4.005483276192852e-06,9.445164469195958e-06,1.6740510862202455e-07,2.021773875115577e-06,3.812769359703089e-07,0.0,0.0011912686668010197
2005-03-11,0.0010428514264141714,-2.2812614317717292e-06,-2.4635287840958024e-06,0.0,0.0,-5.933672916964733e-07,2.111219413209256e-07,3.0975803247373307e-06,4.383562639384375e-06,-2.1587985995348883e-06,-3.9961689649092287e-07,1.6740510862202455e-07,-1.537642258196865e-05,6.356088359421446e-07,0.0,0.0010428514264141714
2005-03-15,0.00047456932206730364,-5.570339531279921e-06,-2.297140173954634e-06,0.0,0.0,1.302262610203764e-05,-1.885094047527174e-06,-3.229324984752889e-06,4.383562639384375e-06,-3.3570761958818428e-06,-2.0153626775103833e-06,1.6740510862202455e-07,6.0108275335337e-07,9.246445381113673e-08,0.0,0.00047456932206730364
2005-03-16,0.00029844079477496825,-5.4201917525611305e-06,-2.4635287840958024e-06,0.0,0.0,-4.715839489754338e-06,-9.306568129300615e-06,-3.926667753364201e-06,4.383562639384375e-06,-3.3570761958818428e-06,-2.0244616447139285e-06,1.6740510862202455e-07,4.5176278247403357e-07,6.728107209933093e-07,0.0,0.00029844079477496825
2005-03-22,0.0001321842619768657,-7.049180722012942e-06,-2.4635287840958024e-06,0.0,0.0,-1.011689118353059e-05,-1.2425338469209742e-05,-4.2468453456951195e-06,4.383562639384375e-06,-1.7763142919938815e-06,-2.0153626775103833e-06,1.6740510862202455e-07,6.107506565867939e-07,-1.2311367640120758e-06,0.0,0.0001321842619768657
2005-03-23,7.013108412359192e-05,-7.049180722012942e-06,-2.4635287840958024e-06,0.0,0.0,-1.011689118353059e-05,-1.2425338469209742e-05,-4.2468453456951195e-06,4.383562639384375e-06,-1.7763142919938815e-06,-2.0153626775103833e-06,1.6740510862202455e-07,6.107506565867939e-07,-1.2311367640120758e-06,0.0,7.013108412359192e-05
2005-03-24,0.00029834417946068717,-5.015571864295169e-06,-2.5666990560395754e-06,0.0,0.0,-4.638755780356335e-06,-9.154829820035109e-06,4.414467440392644e-05,-2.807324655362028e-05,-3.788752897561373e-06,-1.8284185100233463e-06,1.8199675566241608e-07,3.30246744971463e-07,-9.480648252386095e-07,0.0,0.00029834417946068717
2005-04-01,7.372550866568443e-05,5.02456251638185e-05,2.673750653556994e-05,0.0,0.0,-8.699980378552943e-06,6.162465575662771e-05,-3.3559895293742392e-06,2.612384623658068e-06,2.274062976978266e-05,-1.8116295292858717e-06,5.281953023321229e-07,3.9520174138772595e-07,-3.762226586183991e-07,0.0,7.372550866568443e-05
2005-04-12,0.001920262653905897,6.4986178218108164e-06,-2.4635287840958024e-06,0.0,0.0,4.8165698349115966e-06,9.38086605450424e-06,5.044353333447605e-06,7.095934647445687e-06,3.5823781260484713e-06,8.052337886973675e-07,1.6740510862202455e-07,-8.298047042386511e-07,2.174539764757533e-06,0.0,0.001920262653905897
2005-04-13,0.00029860705707541546,-5.473327297585279e-06,-2.297140173954634e-06,0.0,0.0,3.3117372825846694e-05,-9.546267817526107e-06,-4.2468453456951195e-06,4.383562639384375e-06,-3.274721916563475e-06,-2.0153626775103833e-06,1.6740510862202455e-07,5.58281594814702e-07,-1.2311367640120758e-06,0.0,0.00029860705707541546
2005-04-15,-0.0003068675239791356,-1.300156033019852e-05,-4.804187722423856e-07,0.0,0.0,-9.378562180929715e-06,-2.3292112611071536e-05,3.740749486381139e-07,6.33478454835686e-06,-4.184429334017166e-06,-3.1310277090122703e-06,-1.7914530298803591e-06,1.2519960205399964e-06,1.4406421575045015e-07,0.0,-0.0003068675239791356
2005-04-20,0.0001159185580335489,-5.452293282082349e-06,-2.4635287840958024e-06,0.0,0.0,-6.92445282589744e-06,-1.3352725765715724e-05,-1.964979070668835e-06,6.33478454835686e-06,-4.1858532096455924e-06,-3.1310277090122703e-06,1.6740510862202455e-07,1.2519960205399964e-06,-1.658932403482702e-06,0.0,0.0001159185580335489
2005-04-26,0.0010912171601979873,9.73268312624369e-07,-2.660349280468486e-06,0.0,0.0,-5.720572634466475e-06,-6.4914670065132355e-06,5.244574932613664e-06,-2.807324655362028e-05,-1.814474608607229e-06,-2.5853378718701107e-06,1.6740510862202455e-07,1.3213164200446406e-06,1.8291551866808877e-06,0.0,0.0010912171601979873
2005-04-27,0.00190914526573357,7.5811155122875775e-06,-2.3698785596668925e-06,0.0,0.0,-5.041968019859765e-07,1.5079513396995878e-05,-4.874568475544142e-06,4.383562639384375e-06,3.8799244064181045e-06,-2.1002257333869237e-06,1.8199675566241608e-07,1.4369467886611635e-06,2.1122271254543543e-06,0.0,0.00190914526573357
2005-04-28,3.156431583538153e-05,-5.452293282082349e-06,-2.4635287840958024e-06,0.0,0.0,-6.92445282589744e-06,-1.3352725765715724e-05,-1.964979070668835e-06,6.33478454835686e-06,-4.1858532096455924e-06,-3.1310277090122703e-06,1.6740510862202455e-07,1.2519960205399964e-06,-1.658932403482702e-06,0.0,3.156431583538153e-05
2005-04-29,0.001506931077929984,2.8936633186548836e-06,-2.4635287840958024e-06,0.0,0.0,-6.020810801953674e-07,-3.7756054018019567e-06,5.323299219718567e-06,4.383562639384375e-06,-1.3460132955432208e-05,-2.436253886372035e-06,1.6740510862202455e-07,2.4145165528406635e-06,1.8291551866808877e-06,0.0,0.001506931077929984
2005-05-02,0.0009822384629093945,1.7090066662219632e-06,-1.9787299123252203e-06,0.0,0.0,-5.187940928269107e-06,6.619894832734354e-05,3.958947108790639e-06,4.215480260083145e-06,-2.0000457269390093e-06,-2.0368759207549484e-06,1.6740510862202455e-07,1.876681960022663e-07,1.6163252257668604e-06,0.0,0.0009822384629093945
2005-05-03,0.0020399744517169706,3.821908363063134e-06,-2.4635287840958024e-06,0.0,0.0,-5.765855696708869e-07,1.3864846801542703e-05,5.244574932613664e-06,4.383562639384375e-06,6.349645100385568e-06,-5.631869871990088e-07,1.6740510862202455e-07,2.853722651288959e-06,9.133388015114693e-07,0.0,0.0020399744517169706
2005-05-06,6.879726929564325e-05,6.735199343069975e-05,-2.4635287840958024e-06,0.0,0.0,-9.738619104040129e-06,-1.1437060839856542e-05,-4.2468453456951195e-06,4.601890542723583e-06,-1.3559036545717537e-06,-2.0153626775103833e-06,1.6740510862202455e-07,5.671418379390855e-07,-1.1942672343850505e-06,0.0,6.879726929564325e-05
2005-05-11,0.001453343912399509,1.7255540743767633e-06,-2.4635287840958024e-06,0.0,0.0,-6.16169545882342e-07,1.185196786900253e-05,-3.031760195676534e-06,4.383562639384375e-06,5.785166874124451e-06,-4.962964126480969e-07,1.6740510862202455e-07,-1.3862625521576568e-05,7.039013216992645e-07,0.0,0.001453343912399509
2005-05-12,0.0004302851238368328,-3.117543365181e-06,-2.4594404623338997e-06,0.0,0.0,4.879268020829129e-05,-9.807145929897045e-06,-1.5872009844373955e-06,6.170156997154158e-06,-4.1858532096455924e-06,-2.8983837493167025e-06,1.6740510862202455e-07,1.2519960205399964e-06,-1.658932403482702e-06,0.0,0.0004302851238368328
2005-05-17,0.0020922548419416765,5.515840499089541e-06,-2.4635287840958024e-06,0.0,0.0,-5.765855696708869e-07,1.4980628443707025e-05,5.564752524944581e-06,4.259498767402365e-06,7.82791974727381e-06,-5.722859544025546e-07,1.6740510862202455e-07,2.694734777176198e-06,-2.9780750541996523e-07,0.0,0.0020922548419416765
2005-05-18,0.0003512371906394916,-5.570339531279921e-06,-2.4635287840958024e-06,0.0,0.0,-4.715839489754338e-06,-7.509415919152588e-06,-4.2468453456951195e-06,4.383562639384375e-06,-1.7763142919938815e-06,-2.0153626775103833e-06,1.6740510862202455e-07,6.107506565867939e-07,-1.2311367640120758e-06,0.0,0.0003512371906394916
2005-05-25,0.0009776123072987048,-2.2292868814183887e-06,-2.4635287840958024e-06,0.0,0.0,-5.933672916964733e-07,-1.9363026319109982e-06,-4.8675299495785876e-05,4.383562639384375e-06,-2.0329395219749296e-06,-5.742522330549994e-07,1.6740510862202455e-07,1.5810147081669385e-06,6.356088359421446e-07,0.0,0.0009776123072987048
2005-05-26,0.0010584842285034206,-3.116059796554465e-06,-2.4635287840958024e-06,0.0,0.0,-7.384111568591727e-07,-1.0475081525464524e-06,4.3061960916623525e-06,-3.283518840980324e-05,-6.001663094537882e-07,-3.536316709181766e-07,1.6740510862202455e-07,1.7856040225616704e-06,4.370908208361249e-07,0.0,0.0010584842285034206
2005-05-27,0.0010577938668173985,-2.2003596504358744e-06,-2.4635287840958024e-06,0.0,0.0,-5.303781527611183e-07,-5.233731222261916e-07,4.101918199018098e-06,3.8010072558146046e-06,2.305094360275999e-06,-5.65898966962791e-07,1.6740510862202455e-07,1.7026422191743824e-06,6.356088359421446e-07,0.0,0.0010577938668173985
2005-06-01,0.001056779531062454,-1.9007739837478384e-06,-2.1628553646662536e-06,0.0,0.0,-8.959289883900915e-07,3.533238870320347e-05,4.3061960916623525e-06,4.215480260083145e-06,3.07444351760159e-07,-2.002783847798687e-07,1.6740510862202455e-07,1.7801356353744893e-06,6.356088359421446e-07,0.0,0.001056779531062454
2005-06-03,0.001056377816673412,4.979597533854588e-06,3.48403223396575e-05,0.0,0.0,-2.7102773483033226e-07,1.0989448946071996e-06,4.451128185780603e-06,2.800203198049552e-06,1.0289571911547127e-07,9.445164469195958e-06,5.281953023321229e-07,2.021773875115577e-06,5.238947957298136e-07,0.0,0.001056377816673412
2005-06-10,0.001195912024975583,-2.347411144153211e-06,-2.4635287840958024e-06,0.0,0.0,1.3111376769882203e-06,-9.253565020597351e-07,4.3061960916623525e-06,4.383562639384375e-06,-3.625313678922325e-07,-5.327657758460438e-07,1.6740510862202455e-07,-6.1212179855269e-06,4.2617135612993973e-07,0.0,0.001195912024975583
2005-06-14,0.0012528397330967447,-1.5960578215051908e-06,-2.297140173954634e-06,0.0,0.0,-6.761883064001627e-06,6.367416780570099e-07,4.3061960916623525e-06,4.383562639384375e-06,-2.4273275840744524e-07,-5.996563503969556e-07,1.6740510862202455e-07,1.7331349607895784e-06,6.356088359421446e-07,0.0,0.0012528397330967447
2005-06-15,0.0016640556037623491,1.9928068547320528e-06,-1.8788292617837637e-06,0.0,0.0,4.023049540628739e-06,9.140072602075272e-06,4.95373371070909e-06,5.463122583547303e-06,3.2286818465466396e-06,-5.996563503969556e-07,-3.2288780153856203e-06,1.843128174691428e-06,3.519146969422075e-06,0.0,0.0016640556037623491
2005-06-24,0.0010589991057858728,-3.0640852462011247e-06,-2.4635287840958024e-06,0.0,0.0,-7.384111568591727e-07,-1.691693384096403e-06,-6.072074661027913e-05,-3.283518840980324e-05,-6.001663094537882e-07,-3.282275535762204e-07,1.6740510862202455e-07,1.5810147081669385e-06,4.370908208361249e-07,0.0,0.0010589991057858728
2005-06-30,0.0010576083686953221,-2.2812614317717292e-06,-2.4635287840958024e-06,0.0,0.0,-5.933672916964733e-07,-9.462966554389054e-07,4.3061960916623525e-06,4.383562639384375e-06,-3.2508703772581243e-07,-5.996563503969556e-07,1.6740510862202455e-07,1.7856040225616704e-06,6.356088359421446e-07,0.0,0.0010576083686953221
2005-07-01,0.0016615604063645853,1.098629763024201e-06,-1.4389409173668792e-06,0.0,0.0,2.9539554734601055e-06,-0.00010036214952367954,4.6799339200945984e-06,4.914351987230058e-06,-2.959040412539357e-05,-2.6293084330024187e-07,7.18356528546889e-08,1.5522107903223603e-06,1.1513648187360106e-06,0.0,0.0016615604063645853
2005-07-08,0.0016635504389281922,-1.316670366569501e-05,3.48403223396575e-05,0.0,0.0,4.294407899324325e-06,1.096822243471068e-05,5.167113644485437e-06,4.2378485476724556e-06,3.138527032475015e-06,9.445164469195958e-06,5.281953023321229e-07,2.1229068458930427e-06,2.0628257245452013e-06,0.0,0.0016635504389281922
2005-07-13,0.002008390630538751,6.432468109429335e-06,-2.4635287840958024e-06,0.0,0.0,4.1262043722239485e-06,1.0167069611933852e-05,5.516769198434603e-06,7.095934647445687e-06,2.840513363186331e-06,6.720849093422465e-07,1.6740510862202455e-07,-5.367631877458705e-05,1.965102284945328e-06,0.0,0.002008390630538751
2005-07-14,0.002009917035796727,4.9483084965056e-06,-1.8747409400218605e-06,0.0,0.0,-7.812691422781712e-05,9.009832164619861e-06,5.034439879352635e-06,6.297548261624066e-06,3.2286818465466396e-06,4.4191096940996356e-07,-3.2288780153856203e-06,1.664829192515349e-06,2.174539764757533e-06,0.0,0.002009917035796727
2005-07-15,0.0020076738805466575,6.678656958885855e-06,-2.4635287840958024e-06,0.0,0.0,4.8165698349115966e-06,1.0499995482927606e-05,4.937831765321395e-06,6.959151331534533e-06,3.2286818465466396e-06,6.051943347913347e-07,1.6740510862202455e-07,1.664829192515349e-06,3.519146969422075e-06,0.0,0.0020076738805466575
2005-07-27,0.0020093543268891343,6.029775848060746e-06,-2.660349280468486e-06,0.0,0.0,4.821264776624688e-06,9.882207968684084e-06,-8.021672123175236e-05,-6.10848099778364e-05,2.9998767184235308e-06,-1.5862716583101103e-07,1.6740510862202455e-07,1.4602398781206173e-06,2.174539764757533e-06,0.0,0.0020093543268891343
2005-07-29,0.0013720712993079015,-5.893716661081548e-07,-2.4635287840958024e-06,0.0,0.0,2.9862984135895084e-06,3.8027677936331603e-06,4.3061960916623525e-06,4.383562639384375e-06,6.746879275336446e-07,-5.996563503969556e-07,1.6740510862202455e-07,1.7856040225616704e-06,2.174539764757533e-06,0.0,0.0013720712993079015
2005-08-01,0.0010582399432738185,-2.2485896149287434e-06,-1.4389409173668792e-06,0.0,0.0,-8.71826536112501e-07,-1.9343515149500038e-05,3.0916189958393514e-06,4.280564110725745e-06,-3.85984578743274e-07,-3.2521008021824334e-07,7.18356528546889e-08,1.489017402833366e-06,4.104943546948187e-07,0.0,0.0010582399432738185
2005-08-05,0.0009771922744075225,2.2965737424494326e-05,-2.4635287840958024e-06,0.0,0.0,-6.717927521398853e-07,-1.3081864180070252e-06,3.474014230853971e-06,4.601890542723583e-06,-2.2897086243468513e-06,-5.996563503969556e-07,1.6740510862202455e-07,1.741995203913962e-06,6.7247836556917e-07,0.0,0.0009771922744075225
2005-08-09,0.0010346620931011234,-2.2812614317717292e-06,-2.4635287840958024e-06,0.0,0.0,-5.933672916964733e-07,-1.6622709482308032e-06,3.474014230853971e-06,4.383562639384375e-06,-3.2508703772581243e-07,-5.996563503969556e-07,1.6740510862202455e-07,1.7856040225616704e-06,6.356088359421446e-07,0.0,0.0010346620931011234
2005-08-11,0.0010347525622208644,-2.184249198077088e-06,-2.297140173954634e-06,0.0,0.0,1.0365961278188444e-05,-2.0912098162323018e-06,3.474014230853971e-06,4.383562639384375e-06,-2.4273275840744524e-07,-5.996563503969556e-07,1.6740510862202455e-07,1.7331349607895784e-06,6.356088359421446e-07,0.0,0.0010347525622208644
2005-08-12,0.0010030390287945707,-2.2812614317717292e-06,-2.4635287840958024e-06,0.0,0.0,-5.933672916964733e-07,-2.0665772459398023e-06,3.0975803247373307e-06,4.383562639384375e-06,-2.1587985995348883e-06,-3.9961689649092287e-07,1.6740510862202455e-07,-1.537642258196865e-05,6.356088359421446e-07,0.0,0.0010030390287945707
2005-08-16,0.00029858303540009003,-5.508343984085986e-06,-2.4635287840958024e-06,0.0,0.0,-4.715839489754338e-06,-9.306568129300615e-06,-3.926667753364201e-06,4.259498767402365e-06,-3.3570761958818428e-06,-2.0244616447139285e-06,1.6740510862202455e-07,4.5176278247403357e-07,-2.44228307094351e-06,0.0,0.00029858303540009003
2005-08-24,0.00013201185348187837,-6.494413055028191e-06,-2.5666990560395754e-06,0.0,0.0,-1.0039807474132585e-05,-1.2462839339720241e-05,4.414467440392644e-05,-2.807324655362028e-05,-2.207990993673411e-06,-1.8284185100233463e-06,1.8199675566241608e-07,3.30246744971463e-07,-9.480648252386095e-07,0.0,0.00013201185348187837
2005-08-26,0.00029948465858760766,-4.940883447168452e-06,-2.4635287840958024e-06,0.0,0.0,-4.715839489754338e-06,-7.337284090859249e-06,-4.2468453456951195e-06,4.383562639384375e-06,2.631961739759051e-05,-2.0153626775103833e-06,1.6740510862202455e-07,6.107506565867939e-07,-1.2311367640120758e-06,0.0,0.00029948465858760766
2005-09-01,0.00047322766286098913,-4.731864614657354e-06,-1.9787299123252203e-06,0.0,0.0,-4.93620854168863e-06,1.6499516930967157e-05,-3.229324984752889e-06,4.215480260083145e-06,-2.7245448063958706e-06,-1.615984711893296e-06,1.6740510862202455e-07,5.245693558993708e-07,-1.2036550710289043e-07,0.0,0.00047322766286098913
2005-09-02,0.00029741790121458675,9.224020454330236e-06,3.48403223396575e-05,0.0,0.0,-4.290787423644221e-06,-7.537483036525451e-06,-4.04398599779607e-06,2.936685241865518e-06,-3.0058813754715684e-06,-2.0153626775103833e-06,5.281953023321229e-07,6.107506565867939e-07,-1.0516493746255457e-06,0.0,0.00029741790121458675
2005-09-13,0.0010348184181530565,-2.347411144153211e-06,-2.4635287840958024e-06,0.0,0.0,-6.329512679079284e-07,-1.526064648604742e-06,3.2680054727206207e-06,4.383562639384375e-06,-2.377298900221448e-07,-5.327657758460438e-07,1.6740510862202455e-07,-1.2687772155601693e-05,4.2617135612993973e-07,0.0,0.0010348184181530565
2005-09-14,0.001042834921974171,-2.0341014193582974e-06,-2.297140173954634e-06,0.0,0.0,1.0365961278188444e-05,-2.749808747578825e-09,3.4738279109242873e-06,4.383562639384375e-06,-1.950585242656562e-06,-9.441624048716013e-07,1.6740510862202455e-07,1.574147086676818e-06,-7.412765739864752e-06,0.0,0.001042834921974171
2005-09-15,0.0009773441990481653,-2.2812614317717292e-06,-2.4635287840958024e-06,0.0,0.0,-5.933672916964733e-07,-1.6622709482308032e-06,3.474014230853971e-06,4.383562639384375e-06,-2.0329395219749296e-06,-5.996563503969556e-07,1.6740510862202455e-07,1.7856040225616704e-06,6.356088359421446e-07,0.0,0.0009773441990481653
2005-09-20,0.0009773441990481653,-2.2812614317717292e-06,-2.4635287840958024e-06,0.0,0.0,-5.933672916964733e-07,-1.6622709482308032e-06,3.474014230853971e-06,4.383562639384375e-06,-2.0329395219749296e-06,-5.996563503969556e-07,1.6740510862202455e-07,1.7856040225616704e-06,6.356088359421446e-07,0.0,0.0009773441990481653
2005-09-27,0.0010034441787681527,-3.116059796554465e-06,-2.4635287840958024e-06,0.0,0.0,-7.384111568591727e-07,-1.7634824453383506e-06,3.474014230853971e-06,-3.283518840980324e-05,-2.3080187937029053e-06,-3.536316709181766e-07,1.6740510862202455e-07,1.7856040225616704e-06,4.370908208361249e-07,0.0,0.0010034441787681527
2005-09-28,0.0009776123072987046,-2.2292868814183887e-06,-2.4635287840958024e-06,0.0,0.0,-5.933672916964733e-07,-1.9363026319109982e-06,-4.889367713394184e-05,4.383562639384375e-06,-2.0329395219749296e-06,-5.742522330549994e-07,1.6740510862202455e-07,1.5810147081669385e-06,6.356088359421446e-07,0.0,0.0009776123072987046
2005-09-30,0.0012526589973575373,-1.7314404837209966e-06,-2.4635287840958024e-06,0.0,0.0,2.9862984135895084e-06,1.2378123743518471e-06,4.3061960916623525e-06,4.383562639384375e-06,-1.488304432858694e-06,-5.996563503969556e-07,1.6740510862202455e-07,1.7856040225616704e-06,6.356088359421446e-07,0.0,0.0012526589973575373
