date,vix_main_effect,surp_nfp,surp_unemp,surp_corecpi,surp_gdp,surp_retsailes,surp_ism_pmi,surp_dgorders,surp_newhomesales,surp_consconfid,surp_avghourlyearnmings,surp_cpi,surp_tradebal,surp_indprod,surp_fedratedec,VIXCLS
2005-02-02,-0.0004061371555419717,-6.852444266921834e-06,9.94753760512088e-07,0.0,0.0,-1.6519523644420604e-06,-6.700767453960847e-07,-2.2468947350004046e-06,-8.400165211419552e-07,9.130314083082872e-09,-1.927008487439796e-06,-6.988711869594342e-08,-1.753153063526233e-06,-1.8116270345127323e-06,0.0,-0.0004061371555419717
2005-02-04,4.446567845101372e-05,-6.372067575698945e-05,-1.5797580290310403e-05,0.0,0.0,-5.103430081267626e-07,1.5766542380203668e-06,-3.019381661771595e-06,-9.210681001602788e-07,-7.931766346574537e-07,-8.969730410298747e-06,5.159474381928746e-08,-1.4350978512597394e-06,9.323832410236335e-07,0.0,4.446567845101372e-05
2005-02-10,-0.0005552713915997299,-6.584890002237653e-06,9.94753760512088e-07,0.0,0.0,-3.550072185531139e-06,-2.173493026267157e-06,-3.3010769648232444e-06,-1.1266349072036033e-06,-6.18309480128628e-07,-1.7099841718803478e-06,-6.988711869594342e-08,1.8844775094639182e-05,-1.3813366759227733e-06,0.0,-0.0005552713915997299
2005-02-15,-7.459941076026704e-06,3.3399098773558836e-06,9.94753760512088e-07,0.0,0.0,-2.9989211008572337e-05,2.9982897228263615e-06,-3.239220427050911e-06,-7.131709810799323e-07,1.4367403092521905e-06,7.504137967579506e-07,3.7143123016402745e-07,-1.4326695192644877e-06,1.961503164869947e-06,0.0,-7.459941076026704e-06
2005-02-16,4.3681434388811885e-05,4.7179703740666885e-06,9.94753760512088e-07,0.0,0.0,1.5509778989114434e-07,3.524607606745583e-06,-4.034682289476597e-06,-8.704606161892787e-07,1.6833706720101894e-06,1.123533450317295e-06,3.7143123016402745e-07,-1.3643133826319902e-06,-1.4790596289204346e-05,0.0,4.3681434388811885e-05
2005-02-23,-0.00017058692205219124,-3.5929983432859733e-06,7.989403221885903e-07,0.0,0.0,-7.317382752311489e-07,1.8545591745902197e-06,-2.9663360502127785e-06,-8.400165211419552e-07,5.327619123598786e-07,-1.3386089916374479e-06,-1.0812277169233145e-06,-1.123317924495678e-06,-3.7751906628159405e-07,0.0,-0.00017058692205219124
2005-02-24,-0.0005544487939121943,-6.475509412861815e-06,9.94753760512088e-07,0.0,0.0,-3.941895012734835e-06,-2.4313547844064475e-06,1.0009426655186216e-05,-1.1718939581892846e-06,-6.18309480128628e-07,-1.8075767633064076e-06,-6.988711869594342e-08,-2.9891045019987167e-06,-1.5960984003372055e-06,0.0,-0.0005544487939121943
2005-02-28,-0.00026000323136502574,-5.075940547279172e-06,7.989403221885903e-07,0.0,0.0,-1.5006433103778098e-06,2.945566079921234e-07,-3.4928005681874062e-06,7.477372618126977e-06,1.6324251181135367e-07,-1.4280320467285448e-06,-6.988711869594342e-08,-1.6686384482123617e-06,-3.0164571273964904e-07,0.0,-0.00026000323136502574
2005-03-01,-0.00021910303219022312,-3.992354145782139e-06,7.989403221885903e-07,0.0,0.0,-1.2849039708733115e-06,2.365139719024037e-05,-2.116718654433586e-06,-7.878893744464695e-07,2.880452874897537e-07,-1.4539993238291937e-06,-6.988711869594342e-08,-1.6871831290885222e-06,-9.345403871694893e-08,0.0,-0.00021910303219022312
2005-03-04,-0.0003891620558528919,6.120088699656184e-05,7.989403221885903e-07,0.0,0.0,-1.2321774735341512e-06,-2.1652025771715237e-07,-1.7753308326267724e-06,-7.312060819058156e-07,3.144496028610006e-06,1.3835092076495438e-05,-1.1229001940413728e-08,-1.6159610276366683e-06,-1.6867916892513036e-06,0.0,-0.0003891620558528919
2005-03-11,-0.0005823927905359086,-6.170971327372952e-06,-1.442136080929369e-06,0.0,0.0,-4.566220650621604e-06,-2.5002419819796403e-07,-3.687621321652986e-06,-1.9462617573542325e-06,-1.6165492235983684e-07,-3.6864371683012038e-06,-6.988711869594342e-08,2.043212345372261e-07,-2.037308111323227e-06,0.0,-0.0005823927905359086
2005-03-15,-0.00010312229006387952,-3.723918210561787e-06,5.351858341451802e-07,0.0,0.0,9.361874702041701e-06,1.6522872004615605e-06,-2.2025271019710505e-06,-9.80943294188305e-07,-1.6194613620446582e-07,-1.0530725882627393e-06,4.1061834753473756e-07,-4.191463756149687e-07,-2.6671466644832837e-07,0.0,-0.00010312229006387952
