date,vix_main_effect,surp_nfp,surp_unemp,surp_corecpi,surp_gdp,surp_retsailes,surp_ism_pmi,surp_dgorders,surp_newhomesales,surp_consconfid,surp_avghourlyearnmings,surp_cpi,surp_tradebal,surp_indprod,surp_fedratedec,VIXCLS
2005-02-02,-4.743714074584061e-05,-1.3253440125083553e-07,-1.1041339425432626e-06,-7.928363786149314e-09,-2.895612119313475e-09,7.769368949857327e-10,-2.2723937675709253e-09,2.21427652832003e-09,-4.777378741142954e-07,-2.439254868925505e-07,2.1799848501160494e-08,5.1921994823595266e-08,-2.1818421703374173e-07,-9.384552163322505e-08,0.0,-4.743714074584061e-05
2005-02-04,-4.184804648861035e-05,5.976770914167924e-07,1.7934289661338157e-05,-7.928363786149314e-09,-2.895612119313475e-09,7.769368949857327e-10,-2.2723937675709253e-09,2.2142765283200036e-09,-4.777378741142954e-07,2.7191016456712103e-07,-8.205285820249651e-07,1.2215055090565642e-07,-2.1818421703374173e-07,-9.384552163322505e-08,0.0,-4.184804648861035e-05
2005-02-10,-4.743714074584061e-05,-1.3253440125083553e-07,-1.1041339425432626e-06,-7.928363786149314e-09,-2.895612119313475e-09,7.769368949857327e-10,-2.2723937675709253e-09,2.21427652832003e-09,-4.777378741142954e-07,-2.439254868925505e-07,2.1799848501160494e-08,5.1921994823595266e-08,3.808135703325183e-08,-9.384552163322505e-08,0.0,-4.743714074584061e-05
2005-02-15,-4.184804648861032e-05,-1.8940505053759354e-07,-1.1041339425432626e-06,-7.928363786149314e-09,-2.895612119313475e-09,-7.714598596232759e-07,-2.2723937675709253e-09,2.21427652832003e-09,-4.777378741142954e-07,-2.439254868925505e-07,2.1799848501160494e-08,1.2215055090565642e-07,-2.1818421703374173e-07,-9.384552163322505e-08,0.0,-4.184804648861032e-05
2005-02-16,-3.925827264229663e-05,-1.8940505053759354e-07,-1.1041339425432626e-06,-7.928363786149314e-09,-2.895612119313475e-09,7.769368949857327e-10,-2.2723937675709253e-09,2.21427652832003e-09,-4.777378741142954e-07,-2.439254868925505e-07,2.1799848501160494e-08,1.9559666491948412e-07,-2.1818421703374173e-07,4.7084282623749833e-07,0.0,-3.925827264229663e-05
2005-02-23,-4.74371407458406e-05,-1.3253440125083553e-07,-1.1041339425432626e-06,-7.928363786149314e-09,-2.895612119313475e-09,7.769368949857327e-10,-2.2723937675709253e-09,2.21427652832003e-09,-4.777378741142954e-07,-2.439254868925505e-07,2.1799848501160494e-08,-1.7833918205185291e-06,-2.1818421703374173e-07,-9.384552163322505e-08,0.0,-4.74371407458406e-05
2005-02-24,-4.74371407458406e-05,-1.3253440125083553e-07,-1.1041339425432626e-06,-7.928363786149314e-09,-2.895612119313475e-09,7.769368949857327e-10,-2.2723937675709253e-09,9.660164309683508e-07,-4.777378741142954e-07,-2.439254868925505e-07,2.1799848501160494e-08,5.1921994823595266e-08,-2.1818421703374173e-07,-9.384552163322505e-08,0.0,-4.74371407458406e-05
2005-02-28,-4.743714074584061e-05,-1.3253440125083553e-07,-1.1041339425432626e-06,-7.928363786149314e-09,-2.895612119313475e-09,7.769368949857327e-10,-2.2723937675709253e-09,2.21427652832003e-09,7.961432386356432e-06,-2.439254868925505e-07,2.1799848501160494e-08,5.1921994823595266e-08,-2.1818421703374173e-07,-9.384552163322505e-08,0.0,-4.743714074584061e-05
2005-03-01,-4.743714074584059e-05,-1.3253440125083553e-07,-1.1041339425432626e-06,-7.928363786149314e-09,-2.895612119313475e-09,7.769368949857327e-10,2.098484995158817e-07,2.21427652832003e-09,-4.777378741142954e-07,-2.439254868925505e-07,2.1799848501160494e-08,5.1921994823595266e-08,-2.1818421703374173e-07,-9.384552163322505e-08,0.0,-4.743714074584059e-05
2005-03-04,-4.743714074584062e-05,4.491377545195635e-08,-8.938446351610394e-07,-7.928363786149314e-09,-2.895612119313475e-09,7.769368949857327e-10,-2.2723937675709518e-09,2.21427652832003e-09,-4.777378741142954e-07,2.7191016456712103e-07,-8.205285820249651e-07,5.1921994823595266e-08,-2.1818421703374173e-07,-9.384552163322505e-08,0.0,-4.743714074584062e-05
