date,vix_main_effect,surp_nfp,surp_unemp,surp_corecpi,surp_gdp,surp_retsailes,surp_ism_pmi,surp_dgorders,surp_newhomesales,surp_consconfid,surp_avghourlyearnmings,surp_cpi,surp_tradebal,surp_indprod,surp_fedratedec,VIXCLS
2005-02-02,0.000342741274648828,2.793817148919114e-07,5.291854669527904e-08,2.920079000594454e-07,7.465435559096677e-08,-1.5035337806871746e-06,6.56887417359158e-07,-5.521861579869755e-08,1.3474669664907246e-06,-3.9457868372976226e-07,1.5691402943626598e-07,1.348244058901826e-07,2.116621108131856e-06,5.152997611410047e-07,0.0,0.000342741274648828
2005-02-04,0.0003438432277830627,1.0465905346249176e-05,6.632983208579926e-07,2.812963634747764e-07,6.667093031818002e-08,-1.5119457118172593e-06,7.595835458683256e-07,-5.973957144958605e-08,1.3485249503271959e-06,-1.2312521649771724e-06,1.1659824892344084e-06,1.348244058901826e-07,2.102746167550199e-06,5.09669197848682e-07,0.0,0.0003438432277830627
2005-02-10,0.00034117963698784116,2.0783525816680688e-07,5.111627015698841e-08,2.920079000594454e-07,7.465435559096677e-08,-1.5035337806871746e-06,6.74404893904408e-07,-9.523114135333348e-08,1.2862217147554882e-06,-4.058493875691136e-07,1.1513410097592461e-07,1.348244058901826e-07,-2.8270795110084122e-05,5.152997611410047e-07,0.0,0.00034117963698784116
2005-02-15,0.0003438500665511587,2.633884025534946e-07,5.291854669527904e-08,2.920079000594454e-07,7.465435559096677e-08,9.226599459749638e-07,7.118896934605802e-07,-7.390883771621817e-08,1.3474669664907246e-06,-3.9457868372976226e-07,1.5691402943626598e-07,1.348244058901826e-07,2.125065812383823e-06,5.181141311383516e-07,0.0,0.0003438500665511587
2005-02-16,0.00034390714538887885,2.793817148919114e-07,5.291854669527904e-08,2.920079000594454e-07,7.465435559096677e-08,-1.508579607647305e-06,6.180734432129626e-07,-6.267113365854415e-08,1.3474669664907246e-06,-3.973068052491111e-07,1.5691402943626598e-07,1.348244058901826e-07,2.116621108131856e-06,-6.501669626738183e-06,0.0,0.00034390714538887885
2005-02-23,0.0003365362379051702,3.820281564028856e-07,5.291854669527904e-08,2.920079000594454e-07,7.465435559096677e-08,-1.5175470599111065e-06,6.61458013218078e-07,-5.091119295385806e-08,1.3239632222581171e-06,-2.6183220739203334e-07,1.5389445492846034e-07,-1.5099940289410344e-06,2.116621108131856e-06,5.152997611410047e-07,0.0,0.0003365362379051702
2005-02-24,0.00034103971600311,2.4794484185036816e-07,4.986244313741451e-08,2.935858516349637e-07,7.465435559096677e-08,-1.5237379862650502e-06,6.524954708263633e-07,1.668539438104902e-05,1.3474669664907246e-06,-3.550716175168172e-07,1.454004755698135e-07,1.794009907024649e-07,2.1013039988967377e-06,5.152997611410047e-07,0.0,0.00034103971600311
2005-02-28,0.0003392107016140027,3.8821910320047374e-07,5.291854669527904e-08,2.920079000594454e-07,7.465435559096677e-08,-1.517128276585452e-06,5.942870811874878e-07,-7.571418052324768e-08,-2.0004769248400232e-05,-3.289648307195124e-07,1.5691402943626598e-07,1.1960427236954586e-07,2.002991250361561e-06,5.152997611410047e-07,0.0,0.0003392107016140027
2005-03-01,0.00033918151436844164,3.5071347332738834e-07,5.291854669527904e-08,2.8663261931588796e-07,7.465435559096677e-08,-1.429466630892067e-06,5.224615497662353e-06,-1.6708301036411027e-07,1.343239076353489e-06,-4.2037895614112726e-07,2.1341002774586658e-07,1.2711768579624843e-07,2.1209908262048724e-06,4.5670141605435035e-07,0.0,0.00033918151436844164
2005-03-04,0.0003426634999870507,-1.90513109502688e-06,-1.4569663693187447e-06,2.812963634747764e-07,6.532185079533015e-08,-1.4742807325980754e-06,6.543622762880184e-07,-9.693514721493631e-08,1.3474669664907246e-06,-1.1213512847320189e-06,1.1650185288507005e-06,1.348244058901826e-07,2.073592918858851e-06,5.144460159769251e-07,0.0,0.0003426634999870507
2005-03-11,0.00033651282683137715,3.957893190034201e-07,4.2240168120229346e-08,2.920079000594454e-07,7.465435559096677e-08,-1.50777120790745e-06,6.770016393022066e-07,-5.521861579869755e-08,1.3474669664907246e-06,-2.6183220739203334e-07,1.4409310395883626e-07,1.3214378404800983e-07,1.323492600554236e-06,5.152997611410047e-07,0.0,0.00033651282683137715
