date,vix_main_effect,surp_nfp,surp_unemp,surp_corecpi,surp_gdp,surp_retsailes,surp_ism_pmi,surp_dgorders,surp_newhomesales,surp_consconfid,surp_avghourlyearnmings,surp_cpi,surp_tradebal,surp_indprod,surp_fedratedec,VIXCLS
2005-02-02,2.0953870817052007e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1245508032214819e-07,0.0,0.0,0.0,0.0,0.0,2.0953870817052007e-05
2005-02-04,2.0953870817052007e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1245508032214819e-07,0.0,0.0,0.0,0.0,0.0,2.0953870817052007e-05
2005-02-10,2.0953870817052007e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1245508032214819e-07,0.0,0.0,0.0,0.0,0.0,2.0953870817052007e-05
2005-02-15,2.0953870817052007e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1245508032214819e-07,0.0,0.0,0.0,0.0,0.0,2.0953870817052007e-05
2005-02-16,2.0953870817052007e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1245508032214819e-07,0.0,0.0,0.0,0.0,0.0,2.0953870817052007e-05
2005-02-23,1.760756745299789e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1245508032214819e-07,0.0,0.0,0.0,0.0,0.0,1.760756745299789e-05
2005-02-24,2.0953870817052007e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1245508032214819e-07,0.0,0.0,0.0,0.0,0.0,2.0953870817052007e-05
2005-02-28,2.0953870817052007e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1245508032214819e-07,0.0,0.0,0.0,0.0,0.0,2.0953870817052007e-05
2005-03-01,2.0953870817052007e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1245508032214819e-07,0.0,0.0,0.0,0.0,0.0,2.0953870817052007e-05
2005-03-04,2.0953870817052007e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1245508032214819e-07,0.0,0.0,0.0,0.0,0.0,2.0953870817052007e-05
2005-03-11,1.760756745299789e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1245508032214819e-07,0.0,0.0,0.0,0.0,0.0,1.760756745299789e-05
2005-03-15,4.472409102683431e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1245508032214819e-07,0.0,0.0,0.0,0.0,0.0,4.472409102683431e-05
2005-03-16,7.292396638538408e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1245508032214819e-07,0.0,0.0,0.0,0.0,0.0,7.292396638538408e-05
2005-03-22,8.298227981459914e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1245508032214819e-07,0.0,0.0,0.0,0.0,0.0,8.298227981459914e-05
2005-03-23,6.954740860714922e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1245508032214819e-07,0.0,0.0,0.0,0.0,0.0,6.954740860714922e-05
2005-03-24,7.292396638538408e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1245508032214819e-07,0.0,0.0,0.0,0.0,0.0,7.292396638538408e-05
2005-04-01,6.954740860714922e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1245508032214819e-07,0.0,0.0,0.0,0.0,0.0,6.954740860714922e-05
2005-04-12,2.0953870817052007e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1245508032214819e-07,0.0,0.0,0.0,0.0,0.0,2.0953870817052007e-05
2005-04-13,4.472409102683431e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1245508032214819e-07,0.0,0.0,0.0,0.0,0.0,4.472409102683431e-05
2005-04-15,0.0001786991756854008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1245508032214819e-07,0.0,0.0,0.0,0.0,0.0,0.0001786991756854008
2005-04-20,0.0001786991756854008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1245508032214819e-07,0.0,0.0,0.0,0.0,0.0,0.0001786991756854008
2005-04-26,0.0001236770346612071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1245508032214819e-07,0.0,0.0,0.0,0.0,0.0,0.0001236770346612071
2005-04-27,0.0001236770346612071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1245508032214819e-07,0.0,0.0,0.0,0.0,0.0,0.0001236770346612071
2005-04-28,0.0001786991756854008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1245508032214819e-07,0.0,0.0,0.0,0.0,0.0,0.0001786991756854008
2005-04-29,0.00014197444503602957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1245508032214819e-07,0.0,0.0,0.0,0.0,0.0,0.00014197444503602957
2005-05-02,0.0001236770346612071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1245508032214819e-07,0.0,0.0,0.0,0.0,0.0,0.0001236770346612071
2005-05-03,9.198778177649514e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1245508032214819e-07,0.0,0.0,0.0,0.0,0.0,9.198778177649514e-05
2005-05-06,6.954740860714922e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1245508032214819e-07,0.0,0.0,0.0,0.0,0.0,6.954740860714922e-05
2005-05-11,9.198778177649514e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1245508032214819e-07,0.0,0.0,0.0,0.0,0.0,9.198778177649514e-05
2005-05-12,0.0001786991756854008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1245508032214819e-07,0.0,0.0,0.0,0.0,0.0,0.0001786991756854008
2005-05-17,9.198778177649514e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1245508032214819e-07,0.0,0.0,0.0,0.0,0.0,9.198778177649514e-05
2005-05-18,8.130877057053711e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1245508032214819e-07,0.0,0.0,0.0,0.0,0.0,8.130877057053711e-05
2005-05-25,1.760756745299789e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1245508032214819e-07,0.0,0.0,0.0,0.0,0.0,1.760756745299789e-05
2005-05-26,1.760756745299789e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1245508032214819e-07,0.0,0.0,0.0,0.0,0.0,1.760756745299789e-05
2005-05-27,2.0953870817052007e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2643164030504368e-06,0.0,0.0,0.0,0.0,0.0,2.0953870817052007e-05
2005-06-01,1.760756745299789e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1245508032214819e-07,0.0,0.0,0.0,0.0,0.0,1.760756745299789e-05
2005-06-03,2.0953870817052007e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1245508032214819e-07,0.0,0.0,0.0,0.0,0.0,2.0953870817052007e-05
2005-06-10,2.0953870817052007e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1245508032214819e-07,0.0,0.0,0.0,0.0,0.0,2.0953870817052007e-05
2005-06-14,2.0953870817052007e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1245508032214819e-07,0.0,0.0,0.0,0.0,0.0,2.0953870817052007e-05
2005-06-15,2.0953870817052007e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1245508032214819e-07,0.0,0.0,0.0,0.0,0.0,2.0953870817052007e-05
2005-06-24,2.0953870817052007e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1245508032214819e-07,0.0,0.0,0.0,0.0,0.0,2.0953870817052007e-05
2005-06-30,2.0953870817052007e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1245508032214819e-07,0.0,0.0,0.0,0.0,0.0,2.0953870817052007e-05
2005-07-01,2.0953870817052007e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2643164030504368e-06,0.0,0.0,0.0,0.0,0.0,2.0953870817052007e-05
2005-07-08,2.0953870817052007e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1245508032214819e-07,0.0,0.0,0.0,0.0,0.0,2.0953870817052007e-05
2005-07-13,2.0953870817052007e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1245508032214819e-07,0.0,0.0,0.0,0.0,0.0,2.0953870817052007e-05
2005-07-14,2.0953870817052007e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1245508032214819e-07,0.0,0.0,0.0,0.0,0.0,2.0953870817052007e-05
