date,vix_main_effect,surp_nfp,surp_unemp,surp_corecpi,surp_gdp,surp_retsailes,surp_ism_pmi,surp_dgorders,surp_newhomesales,surp_consconfid,surp_avghourlyearnmings,surp_cpi,surp_tradebal,surp_indprod,surp_fedratedec,VIXCLS
2005-02-02,-0.00027619419308076487,-8.13996993370498e-07,-6.315667234244392e-08,-1.1876432995763406e-06,-2.321644197670649e-08,-3.0244600847515074e-07,-4.356888253890208e-06,-1.1124837078413451e-06,1.6200132584954994e-07,5.145111853848684e-07,1.9021959432972928e-07,-4.2760263265141986e-07,2.494375423406619e-07,1.4317850109094416e-07,0.0,-0.00027619419308076487
2005-02-04,-0.000248232252426646,-3.645037170979236e-06,8.852403569020004e-07,-1.0255072037669838e-06,-2.321644197670649e-08,-4.794402225931652e-07,-4.347146803275321e-06,-1.2892775280079595e-06,3.926242552941148e-07,-1.9669760028367436e-06,-1.0270963088752764e-05,-2.5681890024018284e-07,1.1892520447826925e-07,1.8700824567133978e-07,0.0,-0.000248232252426646
2005-02-10,-0.0002716306443062825,-4.485974701477961e-07,1.1850365782166255e-07,-1.212704999845731e-06,-2.321644197670649e-08,-3.033903780718724e-07,-4.556523680062531e-06,-1.122101375477239e-06,1.3891527294461517e-07,4.6090820054398827e-07,5.52726527007912e-08,-3.166612430918441e-07,-1.0000271962152015e-05,1.4317850109094416e-07,0.0,-0.0002716306443062825
2005-02-15,-0.0002491236261166063,-9.319638530287879e-08,7.839471504461868e-08,-1.0248356596531422e-06,-2.321644197670649e-08,1.912513311800281e-06,-4.350334393187941e-06,-1.0488468389371501e-06,2.070450426616201e-07,5.351683879318002e-07,6.2595630263912e-07,-3.166612430918441e-07,2.494375423406619e-07,1.4317850109094416e-07,0.0,-0.0002491236261166063
2005-02-16,-0.0001764730494695583,3.627896638568654e-09,2.429515445733984e-07,-9.065006729169538e-07,-2.321644197670649e-08,-4.385987261118423e-07,-4.356459541488583e-06,-8.39210325807837e-07,3.2802375720732674e-09,7.440371769900538e-07,9.328368033911249e-07,-3.166612430918441e-07,4.071540593360201e-07,3.303788029093321e-06,0.0,-0.0001764730494695583
2005-02-23,-0.0004968554634784358,-1.8350337088832297e-06,-6.248339962941028e-07,-1.6093258200858257e-06,-2.321644197670649e-08,-5.696839274912966e-07,-4.850327421370471e-06,-1.4006051806069164e-06,-6.675826016983082e-07,2.331200423274302e-07,-7.386796034631986e-07,8.585819292775417e-06,1.7715728031539437e-07,1.339950813879514e-08,0.0,-0.0004968554634784358
2005-02-24,-0.00027582342021421864,-4.3262183834716727e-07,4.164032972554391e-08,-1.1490980814986913e-06,-2.321644197670649e-08,-2.2276866023250418e-07,-4.408180218084173e-06,1.8679084938684767e-05,1.5684889030729773e-07,4.958787834959261e-07,1.9021959432972928e-07,-3.166612430918441e-07,2.494375423406619e-07,1.4317850109094416e-07,0.0,-0.00027582342021421864
2005-02-28,-0.00048499815667142935,-1.8110634647189306e-06,-6.185202595769646e-07,-1.6093258200858257e-06,-2.321644197670649e-08,-5.434008022221611e-07,-4.894260965855195e-06,-1.2824537923009505e-06,-9.465690735098234e-06,1.2593805067338349e-07,-6.077634946499224e-07,-6.051183590586089e-07,2.5497374054761368e-08,1.29272843145265e-08,0.0,-0.00048499815667142935
2005-03-01,-0.0004403435838094817,-1.5922114590904925e-06,-4.70248358545944e-07,-1.545119273270341e-06,-2.321644197670649e-08,-5.279306707261008e-07,1.93668465476194e-05,-1.2169556669386077e-06,-1.4069450387396346e-07,1.4003152702783326e-07,-5.569274899629528e-07,-4.3433584854404284e-07,1.716596896543425e-07,1.339950813879514e-08,0.0,-0.0004403435838094817
2005-03-04,-0.00035853904227450985,1.0454501156971196e-05,5.293693711426717e-07,-1.44618427350251e-06,-1.1424836770527752e-08,-3.10621768057442e-07,-4.5526753191510476e-06,-1.2802996169370214e-06,3.768709390013139e-07,6.215578839058049e-06,3.548945253142834e-06,-3.3293317118062085e-07,1.3127546069198763e-07,7.259822389115364e-08,0.0,-0.00035853904227450985
