date,vix_main_effect,surp_nfp,surp_unemp,surp_corecpi,surp_gdp,surp_retsailes,surp_ism_pmi,surp_dgorders,surp_newhomesales,surp_consconfid,surp_avghourlyearnmings,surp_cpi,surp_tradebal,surp_indprod,surp_fedratedec,VIXCLS
2005-02-02,0.00020968606416073648,-1.1606700049112895e-06,2.878877437623841e-07,3.8798219677011605e-08,1.3012483655635281e-08,2.3026187700099858e-07,-6.839151142849584e-07,-5.62314890244041e-08,4.3591775290695296e-07,-2.832583599055296e-07,-3.8179604670630165e-07,2.0515579416491134e-08,3.6549400076725907e-06,9.678121032434586e-08,0.0,0.00020968606416073648
2005-02-04,0.00021458866964437317,1.9098998274007836e-05,-4.043348001249677e-06,3.8798219677011605e-08,1.3012483655635281e-08,2.3026187700099858e-07,-6.839151142849584e-07,-5.62314890244041e-08,4.3591775290695296e-07,-1.7808198083394205e-06,7.822690485460776e-06,2.0515579416491134e-08,3.6549400076725907e-06,9.678121032434586e-08,0.0,0.00021458866964437317
2005-02-10,0.00021458866964437322,-1.1606700049112895e-06,2.878877437623841e-07,3.8798219677011605e-08,1.3012483655635281e-08,2.3026187700099858e-07,-6.839151142849584e-07,-5.62314890244041e-08,4.3591775290695296e-07,-2.832583599055296e-07,-3.8179604670630165e-07,2.0515579416491134e-08,-5.1044738834448355e-05,9.678121032434586e-08,0.0,0.00021458866964437322
2005-02-15,0.00021458866964437317,-1.1606700049112895e-06,2.878877437623841e-07,3.8798219677011605e-08,1.3012483655635281e-08,-7.415061420768865e-06,-6.839151142849584e-07,-5.62314890244041e-08,4.3591775290695296e-07,-2.832583599055296e-07,-3.8179604670630165e-07,2.0515579416491134e-08,3.6549400076725907e-06,9.678121032434586e-08,0.0,0.00021458866964437317
2005-02-16,0.00021458866964437317,-1.1606700049112895e-06,2.878877437623841e-07,3.8798219677011605e-08,1.3012483655635281e-08,2.3026187700099858e-07,-6.839151142849584e-07,-5.62314890244041e-08,4.3591775290695296e-07,-2.832583599055296e-07,-3.8179604670630165e-07,2.0515579416491134e-08,3.6549400076725907e-06,-7.760618490629489e-07,0.0,0.00021458866964437317
2005-02-23,0.00020526529804747122,-1.1606700049112895e-06,1.2822878252557598e-07,3.8798219677011605e-08,1.3012483655635281e-08,2.3026187700099858e-07,-6.839151142849584e-07,-5.62314890244041e-08,4.3591775290695296e-07,-2.832583599055296e-07,-3.8179604670630165e-07,-9.039778164550824e-07,3.6549400076725907e-06,9.678121032434586e-08,0.0,0.00020526529804747122
2005-02-24,0.00020968606416073648,-1.1606700049112895e-06,2.878877437623841e-07,3.8798219677011605e-08,1.3012483655635281e-08,2.3026187700099858e-07,-6.839151142849584e-07,7.245053793114563e-06,4.3591775290695296e-07,-2.832583599055296e-07,-3.8179604670630165e-07,2.0515579416491134e-08,3.6549400076725907e-06,9.678121032434586e-08,0.0,0.00020968606416073648
2005-02-28,0.0002052652980474713,-1.1606700049112895e-06,1.2822878252557598e-07,3.8798219677011605e-08,1.3012483655635281e-08,2.3026187700099858e-07,-6.839151142849584e-07,-5.62314890244041e-08,-4.548757335610824e-06,-2.832583599055296e-07,-3.8179604670630165e-07,2.0515579416491134e-08,3.6549400076725907e-06,9.678121032434586e-08,0.0,0.0002052652980474713
2005-03-01,0.0002052652980474712,-1.1606700049112895e-06,1.2822878252557598e-07,3.8798219677011605e-08,1.3012483655635281e-08,2.3026187700099858e-07,1.4163291279681271e-05,-5.62314890244041e-08,4.3591775290695296e-07,-2.832583599055296e-07,-3.817960467063017e-07,2.0515579416491134e-08,3.6549400076725907e-06,9.678121032434586e-08,0.0,0.0002052652980474712
2005-03-04,0.00020526529804747133,-2.0959872039074185e-06,-2.538909883415835e-06,3.8798219677011605e-08,1.3012483655635281e-08,2.3026187700099858e-07,-6.839151142849584e-07,-5.62314890244041e-08,4.3591775290695296e-07,-9.292738853701514e-07,7.822690485460776e-06,2.0515579416491134e-08,3.6549400076725902e-06,9.678121032434586e-08,0.0,0.00020526529804747133
2005-03-11,0.00020526529804747127,-1.1606700049112895e-06,1.2822878252557598e-07,3.8798219677011605e-08,1.3012483655635281e-08,2.3026187700099858e-07,-6.839151142849584e-07,-5.62314890244041e-08,4.3591775290695296e-07,-2.832583599055296e-07,-3.8179604670630165e-07,2.0515579416491134e-08,3.810795581232518e-06,9.678121032434586e-08,0.0,0.00020526529804747127
2005-03-15,0.0002052652980474712,-1.1606700049112895e-06,1.2822878252557598e-07,3.8798219677011605e-08,1.3012483655635281e-08,5.313009538811638e-06,-6.839151142849584e-07,-5.62314890244041e-08,4.3591775290695296e-07,-2.832583599055296e-07,-3.8179604670630165e-07,2.0515579416491134e-08,3.6549400076725907e-06,9.678121032434586e-08,0.0,0.0002052652980474712
2005-03-16,0.00020526529804747127,-1.1606700049112895e-06,1.2822878252557598e-07,3.8798219677011605e-08,1.3012483655635281e-08,2.3026187700099858e-07,-6.839151142849584e-07,-5.62314890244041e-08,4.3591775290695296e-07,-2.832583599055296e-07,-3.8179604670630165e-07,2.0515579416491134e-08,3.6549400076725907e-06,9.678121032434586e-08,0.0,0.00020526529804747127
2005-03-22,0.00020526529804747127,-1.1606700049112895e-06,1.2822878252557598e-07,3.8798219677011605e-08,1.3012483655635281e-08,2.3026187700099858e-07,-6.839151142849584e-07,-5.62314890244041e-08,4.3591775290695296e-07,-2.832583599055296e-07,-3.8179604670630165e-07,2.0515579416491134e-08,3.6549400076725907e-06,9.678121032434586e-08,0.0,0.00020526529804747127
2005-03-23,0.00020526529804747122,-1.1606700049112895e-06,1.2822878252557598e-07,-5.652070447422378e-07,1.3012483655635281e-08,2.3026187700099858e-07,-6.839151142849584e-07,-5.62314890244041e-08,4.3591775290695296e-07,-2.832583599055296e-07,-3.8179604670630165e-07,4.4865199593004934e-07,3.6549400076725907e-06,9.678121032434586e-08,0.0,0.00020526529804747122
2005-03-24,0.00020526529804747127,-1.1606700049112895e-06,1.2822878252557598e-07,3.8798219677011605e-08,1.3012483655635281e-08,2.3026187700099858e-07,-6.839151142849584e-07,6.803516787226937e-06,-3.0603079350745332e-06,-2.832583599055296e-07,-3.8179604670630165e-07,2.0515579416491134e-08,3.6549400076725907e-06,9.678121032434586e-08,0.0,0.00020526529804747127
2005-04-01,0.00020526529804747122,1.6167006262796084e-05,-7.304245555859051e-07,3.8798219677011605e-08,1.3012483655635281e-08,2.3026187700099858e-07,-1.972214586008851e-06,-5.62314890244041e-08,4.3591775290695296e-07,-9.292738853701509e-07,-1.663558890216264e-06,2.0515579416491134e-08,3.6549400076725907e-06,9.678121032434586e-08,0.0,0.00020526529804747122
2005-04-12,0.00021458866964437322,-1.1606700049112895e-06,2.878877437623841e-07,3.8798219677011605e-08,1.3012483655635281e-08,2.3026187700099858e-07,-6.839151142849584e-07,-5.62314890244041e-08,4.3591775290695296e-07,-2.832583599055296e-07,-3.8179604670630165e-07,2.0515579416491134e-08,3.810795581232518e-06,9.678121032434586e-08,0.0,0.00021458866964437322
2005-04-13,0.00020526529804747125,-1.1606700049112895e-06,1.2822878252557598e-07,3.8798219677011605e-08,1.3012483655635281e-08,8.259525829029845e-07,-6.839151142849584e-07,-5.6231489024404206e-08,4.3591775290695296e-07,-2.832583599055296e-07,-3.8179604670630165e-07,2.0515579416491134e-08,3.6549400076725907e-06,9.678121032434586e-08,0.0,0.00020526529804747125
2005-04-15,0.00020169461204870809,1.8214560380438466e-07,1.2822878252557598e-07,2.0244468001545927e-07,1.3012483655635281e-08,6.527632616685771e-07,7.069004056151475e-07,1.750057246990642e-07,-2.932964896614557e-08,1.6493647010367397e-08,5.150861265847975e-07,2.0515579416491134e-08,-1.4218406984487556e-07,9.678121032434586e-08,0.0,0.00020169461204870809
