date,vix_main_effect,surp_nfp,surp_unemp,surp_corecpi,surp_gdp,surp_retsailes,surp_ism_pmi,surp_dgorders,surp_newhomesales,surp_consconfid,surp_avghourlyearnmings,surp_cpi,surp_tradebal,surp_indprod,surp_fedratedec,VIXCLS
2005-02-02,0.0001887288192009423,-7.802624909523953e-07,7.317564597809542e-08,1.3370106056354692e-07,1.2275319927796013e-07,-5.737215981298622e-07,2.2763081801591437e-06,1.3879229691972328e-07,3.733768736442984e-07,-6.646875967933962e-07,1.5993141462768611e-07,1.6067645821596685e-07,3.320910553514792e-06,-1.5545173413707386e-07,0.0,0.0001887288192009423
2005-02-04,0.00021085271862922807,1.3891065592953854e-05,4.6813640420941507e-07,1.1863161348262791e-07,1.1381303449716847e-07,-2.8247892526886784e-07,2.201946806985074e-06,9.266519015318008e-08,3.733768736442984e-07,-5.9305120209533925e-06,3.618120085687781e-07,1.5551753528676423e-07,3.364533196077842e-06,-5.277066451828083e-08,0.0,0.00021085271862922807
2005-02-10,0.00020489501348237613,-7.716016611143599e-07,7.317564597809542e-08,1.3370106056354692e-07,1.2275319927796013e-07,-7.454709837073205e-07,2.1070734095282073e-06,8.712877207882307e-08,3.733768736442984e-07,-5.913833445036329e-07,1.5133220450730356e-07,1.6067645821596685e-07,-4.5933637129248295e-05,-7.206770208445755e-08,0.0,0.00020489501348237613
2005-02-15,0.00021110110130320573,-7.871307416320215e-07,5.7347571092633294e-08,1.2073931773334659e-07,1.2275319927796013e-07,-1.002721459027819e-05,2.321108619803557e-06,1.1784976676619616e-07,3.733768736442984e-07,-2.1713404483141884e-07,1.520279231410424e-07,1.6067645821596685e-07,3.1970064082340454e-06,-8.416769119271473e-08,0.0,0.00021110110130320573
2005-02-16,0.00021094343794730773,-7.827511900092109e-07,7.317564597809542e-08,1.3370106056354692e-07,1.2000394586154525e-07,-4.333940703631214e-07,2.2763081801591437e-06,1.5274531682613055e-07,3.733768736442984e-07,-1.9455643445266563e-07,1.5842553631989245e-07,1.6067645821596685e-07,3.320910553514792e-06,3.6177287349445514e-06,0.0,0.00021094343794730773
2005-02-23,0.00018876315785739704,-7.863744615938553e-07,7.111680732812463e-08,1.3370106056354692e-07,1.171835679740428e-07,-5.958746027856453e-07,2.2763081801591437e-06,1.3879229691972328e-07,3.733768736442984e-07,-6.680784838307817e-07,1.4770776223409852e-07,-2.884173281454695e-06,3.320910553514792e-06,-1.5545173413707386e-07,0.0,0.00018876315785739704
2005-02-24,0.00019747671275482866,-7.900970760815728e-07,6.71655223610241e-08,1.267253401672745e-07,1.2275319927796013e-07,-5.737215981298622e-07,2.2828351596271594e-06,7.892851356750228e-06,3.733768736442984e-07,-3.5601326056526335e-07,1.5993141462768611e-07,1.6067645821596685e-07,3.320910553514792e-06,-1.5545173413707386e-07,0.0,0.00019747671275482866
2005-02-28,0.00018874012973607666,-7.910469252784081e-07,7.317564597809542e-08,1.3370106056354692e-07,1.2405229138329549e-07,-5.684590609690556e-07,2.2765267574885907e-06,1.2779974741791052e-07,-5.214383677197376e-06,-6.646875967933962e-07,1.5603620815671403e-07,1.6067645821596685e-07,3.3228367345164273e-06,-1.5545173413707386e-07,0.0,0.00018874012973607666
2005-03-01,0.00018881831253301433,-8.268234545151935e-07,6.33380191479802e-08,1.166563026020661e-07,1.081530440095633e-07,-5.737215981298622e-07,4.137504149688336e-06,1.3232984016702613e-07,3.733768736442984e-07,-6.782227393678182e-07,1.3735965122348815e-07,1.6067645821596685e-07,3.317283421761048e-06,-1.5545173413707386e-07,0.0,0.00018881831253301433
2005-03-04,0.00018844849376023915,1.497154404108795e-06,-3.4336369778635592e-06,1.1822599380673783e-07,1.2015626781313453e-07,-3.3022172044614045e-07,2.3423153420356194e-06,1.3702679341932106e-07,3.516590740114782e-07,-9.460219932389267e-07,3.20327460779762e-07,1.6350378883820128e-07,3.311360726543585e-06,-1.460706280485376e-07,0.0,0.00018844849376023915
