date,vix_main_effect,surp_nfp,surp_unemp,surp_corecpi,surp_gdp,surp_retsailes,surp_ism_pmi,surp_dgorders,surp_newhomesales,surp_consconfid,surp_avghourlyearnmings,surp_cpi,surp_tradebal,surp_indprod,surp_fedratedec,VIXCLS
2005-02-02,0.00033949674484295793,4.1757805692190775e-07,2.640727916033623e-07,8.159640025235733e-07,3.480077659985124e-08,-8.184876587274022e-07,-1.49706796065148e-07,1.331078531329487e-06,2.4897320246664178e-06,-1.039321656525761e-06,7.023123408884951e-07,3.325974381055957e-07,2.0395006821799766e-06,7.129468876879493e-07,0.0,0.00033949674484295793
2005-02-04,0.00033891267611174496,-6.805811154638752e-08,-3.5760276468511667e-06,7.701485410537176e-07,2.693392734180525e-08,-4.530879618270863e-07,-2.6798571501928554e-07,1.4146749511486073e-06,2.2490266170531813e-06,-4.0906946346268004e-06,-7.312841179893219e-06,3.190488858014161e-07,1.892418096093129e-06,7.309580942963649e-07,0.0,0.00033891267611174496
2005-02-10,0.00033993895941299113,3.650776424207001e-07,2.3802519179929702e-07,8.159640025235733e-07,3.480077659985124e-08,-8.28341211666874e-07,-2.6079950245198975e-07,1.2174998234257464e-06,2.453222233681893e-06,-1.136448212615682e-06,6.345262295525507e-07,3.325974381055957e-07,-2.7019589951658136e-05,5.65411723076633e-07,0.0,0.00033993895941299113
2005-02-15,0.0003395100744500413,4.1757805692190775e-07,2.640727916033623e-07,8.159640025235733e-07,3.480077659985124e-08,-3.0911133497955985e-06,-1.2661672522782403e-07,1.3383721352267202e-06,2.457044862862668e-06,-1.0417348642224573e-06,6.81931236467717e-07,3.325974381055957e-07,2.043957942090513e-06,7.138346352252602e-07,0.0,0.0003395100744500413
2005-02-16,0.0003397459161166021,3.968055617058352e-07,3.249031923967569e-07,8.182973816734789e-07,3.480077659985124e-08,-8.294124365682556e-07,-2.2071244994044807e-07,1.1696295201106159e-06,2.4485933496654296e-06,-1.0190017214873388e-06,6.973726967092285e-07,3.325974381055957e-07,1.8934410910137383e-06,-8.344224688152724e-06,0.0,0.0003397459161166021
2005-02-23,0.00033956431215413727,4.0133897349120563e-07,2.6577206223859255e-07,8.035561834266052e-07,3.480077659985124e-08,-8.47650927195526e-07,-1.4248078398342566e-07,1.3387194752035492e-06,2.474287971925534e-06,-1.0695150872574485e-06,6.991707485104801e-07,-4.671075036667888e-06,2.0376852140934476e-06,7.035946751040694e-07,0.0,0.00033956431215413727
2005-02-24,0.00033974438729743556,5.005535461714789e-07,2.4466672426454597e-07,8.12329333874062e-07,3.480077659985124e-08,-8.133803023704969e-07,-2.431768309302386e-07,-1.0941153212436067e-05,2.3602770549565357e-06,-1.052475678099798e-06,6.593409542807517e-07,3.203615768659654e-07,2.005642117630961e-06,6.032720067477807e-07,0.0,0.00033974438729743556
2005-02-28,0.00034007511111872556,2.6394755966998783e-07,2.774617133230347e-07,7.004789121011623e-07,3.480077659985124e-08,-8.752774644881086e-07,-1.5875262721419686e-07,1.2445584741598506e-06,-3.544728690248583e-05,-1.2523010714810885e-06,6.262794180971605e-07,3.210004807865113e-07,1.9515503434238994e-06,6.424940908350001e-07,0.0,0.00034007511111872556
2005-03-01,0.00033986843177354265,3.9361381685735326e-07,2.1412245524392762e-07,7.966341119129974e-07,3.480077659985124e-08,-8.398573242345008e-07,-1.442944814310437e-05,1.2745377749785046e-06,2.4624664147428755e-06,-1.17793817971217e-06,6.726374935728525e-07,3.318193275890275e-07,1.8632550352452752e-06,7.004301522630611e-07,0.0,0.00033986843177354265
2005-03-04,0.0003391267113904701,-4.464953736998404e-06,-2.814108308546499e-06,7.633791234914523e-07,3.236273086405628e-08,-6.412592823883638e-07,-1.1004922302295372e-07,1.240634349566026e-06,2.3713082890609906e-06,-2.9778557085665284e-06,-7.2637450463199995e-06,3.1795506073404044e-07,1.938616771782545e-06,6.842979447282731e-07,0.0,0.0003391267113904701
2005-03-11,0.0003395016748850916,4.3066115079035623e-07,3.332312036422012e-07,7.954355926804508e-07,3.9555505386397364e-08,-7.0073911414512e-07,-1.5678617601179987e-07,1.3007420363177717e-06,2.4529580527122445e-06,-1.0618079858400043e-06,6.851992744427049e-07,3.248937261705747e-07,1.5947267473969687e-06,6.422638791152023e-07,0.0,0.0003395016748850916
2005-03-15,0.0003277705673358502,6.542247459084666e-07,2.6270808339130205e-07,8.069926113829369e-07,3.480077659985124e-08,1.864892638162966e-05,-2.3264377237097547e-07,1.3045636249228957e-06,2.5515104002242914e-06,-7.564968568621227e-07,8.623199060581264e-07,3.325974381055957e-07,1.7295143423748824e-06,7.030491515403998e-07,0.0,0.0003277705673358502
2005-03-16,0.00032178412427363856,4.04708182128795e-07,3.4694899313991615e-07,8.182973816734789e-07,3.480077659985124e-08,-8.243749138851442e-07,-1.37190703827553e-07,1.2685945901676902e-06,2.4485933496654296e-06,-1.0256692935992954e-06,6.973726967092285e-07,3.325974381055957e-07,1.5797372107780635e-06,-4.171337159136616e-06,0.0,0.00032178412427363856
2005-03-22,0.000328101928407419,7.89304599050867e-07,2.640727916033623e-07,8.159640025235733e-07,3.480077659985124e-08,-8.184876587274022e-07,-1.49706796065148e-07,1.331078531329487e-06,2.4897320246664178e-06,-1.039321656525761e-06,7.023123408884951e-07,3.325974381055957e-07,1.5632007853351878e-06,5.508746919225301e-07,0.0,0.000328101928407419
2005-03-23,0.00031602873692606866,3.558350774133379e-07,2.0601921565237858e-07,-8.230411662370764e-06,3.248281037761606e-08,-8.624570977595905e-07,-1.5726335369420306e-07,1.3157815502409766e-06,2.427467255901979e-06,-1.0983765861798938e-06,6.522211314686118e-07,-2.5857364403225914e-06,1.5218431951764855e-06,5.405751451416837e-07,0.0,0.00031602873692606866
2005-03-24,0.0003274508570440576,4.2274046336384694e-07,2.4466672426454597e-07,7.962506689925766e-07,3.272312943679149e-08,-8.711065062360116e-07,-1.3293044970367392e-07,-7.750838811364279e-06,-8.623210803677772e-06,-1.0560472777007165e-06,6.335004231625944e-07,3.215545365266683e-07,1.6711162437980282e-06,6.032720067477807e-07,0.0,0.0003274508570440576
2005-04-01,0.00031572901640143246,-1.0668302633465112e-05,-3.7464613402575882e-06,8.337488240283911e-07,2.4649333032666515e-08,-4.701346200795642e-07,1.173979061988743e-05,1.2855328321054775e-06,2.2511518126928465e-06,-2.434116421565543e-06,-3.959291152183931e-06,2.9914975395482856e-07,1.4586032815861748e-06,4.604717919393574e-07,0.0,0.00031572901640143246
2005-04-12,0.00033947349886323183,4.765469033674102e-07,3.3186881122297083e-07,7.954355926804508e-07,3.9555505386397364e-08,-6.974667990611078e-07,-1.756684116997779e-07,1.3049102130725612e-06,2.4622792395297605e-06,-1.0657568882587441e-06,6.828077392709259e-07,3.248937261705747e-07,5.098719607509858e-07,6.484770229154085e-07,0.0,0.00033947349886323183
2005-04-13,0.0003276841152247476,6.614770765681487e-07,3.284942745263755e-07,8.074375290408037e-07,3.480077659985124e-08,1.1854010588281552e-05,-1.0243008023035407e-07,1.2925262138585137e-06,2.3324326835077526e-06,-7.569484462683213e-07,8.499748696763392e-07,3.2276998841644034e-07,1.92146501906697e-06,6.914350100504057e-07,0.0,0.0003276841152247476
2005-04-15,0.0002541752829528447,-4.452264389654979e-08,9.62709109403261e-07,7.046421886834157e-07,3.480077659985124e-08,1.0787988803987038e-06,-9.302947098219794e-07,7.100038088717752e-07,4.920838305858389e-07,2.2647647168336064e-06,3.0527645182858884e-07,3.325974381055957e-07,-7.97639127566745e-08,2.2644608857531268e-07,0.0,0.0002541752829528447
2005-04-20,0.0002606124304624501,-1.0727248485564851e-07,7.390911985296532e-07,-8.341733476210922e-06,3.248281037761606e-08,1.0508217514552599e-06,-8.92035387513011e-07,6.947068277832647e-07,1.090881256689352e-06,1.8581257562757949e-06,2.551852424087055e-07,-2.5857364403225914e-06,-6.51919252709885e-07,2.1614654179446612e-07,0.0,0.0002606124304624501
2005-04-26,0.000343002017663665,7.044957383934755e-07,6.652795500770439e-07,7.998853376420878e-07,3.272312943679149e-08,-8.835200822642509e-07,2.7479113003749906e-07,1.4755607817020864e-06,-1.0137444394848484e-05,-8.06941301218376e-07,6.529795480396291e-07,3.2516114778758305e-07,1.2675000539750347e-06,5.508746919225301e-07,0.0,0.000343002017663665
2005-04-27,0.0003432789838704486,8.456310374119396e-07,6.298950949286233e-07,7.56047340623422e-07,3.480077659985124e-08,-8.230125691037259e-07,-3.3285728460240835e-09,-2.4038889853862612e-05,2.3706063025041256e-06,-7.513259608877359e-07,6.299175131216051e-07,3.1664470614548324e-07,1.133843527762183e-06,4.2385021003832426e-07,0.0,0.0003432789838704486
2005-04-28,0.0002768203708034127,1.7672944565819457e-07,7.971447744806369e-07,7.023677473102338e-07,-9.044621176405455e-07,7.842131953452161e-07,-1.0014806078537073e-06,7.100038088717752e-07,1.5645545352194181e-06,2.096287961757496e-06,5.665500878745669e-07,3.325974381055957e-07,-2.7106457029096985e-07,2.2644608857531268e-07,0.0,0.0002768203708034127
2005-04-29,0.0003429137904074947,6.700544469137626e-07,6.593712113757744e-07,8.125268760287813e-07,3.9523416644784935e-08,-8.194813701406419e-07,1.6002874465747336e-07,1.6706919594548784e-06,2.4143206377838376e-06,-5.723321123048906e-06,6.726225913482439e-07,3.2936370747831276e-07,1.291804665224536e-06,5.38314128012704e-07,0.0,0.0003429137904074947
2005-05-02,0.0003430872160682126,7.653403589863123e-07,6.153292137176093e-07,7.966341119129974e-07,3.480077659985124e-08,-8.471635439058347e-07,-1.42386403074993e-05,1.5136316897088783e-06,2.4624664147428755e-06,-8.984166004371588e-07,6.726374935728525e-07,3.318193275890275e-07,1.2549452977199513e-06,5.38357956497642e-07,0.0,0.0003430872160682126
2005-05-03,0.00033974117332884917,7.89304599050867e-07,6.652795500770439e-07,8.159640025235733e-07,3.480077659985124e-08,-8.257938783987361e-07,1.8025239619170102e-07,1.5701724460598607e-06,2.4897320246664178e-06,-1.039321656525761e-06,7.023123408884951e-07,3.325974381055957e-07,1.292039588002874e-06,5.508746919225301e-07,0.0,0.00033974117332884917
2005-05-06,0.0003157848933959673,-4.870677393686932e-06,2.640727916033623e-07,8.06055633264948e-07,3.480077659985124e-08,-8.449671632449134e-07,-9.86651705924248e-08,1.3018791049349128e-06,2.454923819060622e-06,-1.053634812937852e-06,6.875078049613361e-07,3.2655421760665476e-07,1.5852161996773842e-06,5.344229557515529e-07,0.0,0.0003157848933959673
2005-05-11,0.000327759513954148,7.341555362527361e-07,6.327813031212868e-07,7.911348761389503e-07,3.480077659985124e-08,-8.219567441325032e-07,-2.8231716472833487e-07,1.1978953438180358e-06,2.4508677798791023e-06,-1.0788152777604035e-06,6.231116766925638e-07,3.304464412756014e-07,-2.5644482102955742e-05,4.107555050484855e-07,0.0,0.000327759513954148
2005-05-12,0.00030075070397654955,1.841748027921815e-07,8.196470536993814e-07,7.901101648074459e-07,3.480077659985124e-08,-4.467683428847968e-06,-3.526821965269733e-07,1.4058759701335024e-06,1.6807189435705424e-06,4.688401698098659e-07,6.729334620580141e-07,3.149121621761132e-07,1.2950267665264227e-06,3.721564602707815e-07,0.0,0.00030075070397654955
2005-05-17,0.00033952679421411574,7.771590518122684e-07,7.261099508704386e-07,8.060254791247343e-07,3.480077659985124e-08,-8.441043432933765e-07,1.0924674231640102e-07,1.401453202731086e-06,2.432531401545675e-06,-8.044935742475867e-07,6.937029787940625e-07,3.2977618694545385e-07,1.1090519068679614e-06,-1.1800965543020861e-05,0.0,0.00033952679421411574
2005-05-18,0.0003156077443981054,4.6087203153825014e-07,2.597711136651148e-07,-9.047297142736542e-06,3.480077659985124e-08,-8.291787031136186e-07,-8.885242209062571e-08,1.2779805308766736e-06,2.4073562763966992e-06,-1.1266605089190319e-06,6.970285799877692e-07,-2.1855695865507886e-06,1.533628631794627e-06,5.353782480855667e-07,0.0,0.0003156077443981054
2005-05-25,0.00033951300652081964,4.08377179293866e-07,2.481358704865329e-07,8.14853169277371e-07,3.480077659985124e-08,-8.337174831424861e-07,-1.5159817116994492e-07,-1.629476853254517e-06,2.4897320246664178e-06,-1.0313876116721757e-06,7.195906397213145e-07,3.325974381055957e-07,2.0229709655416072e-06,7.234297472947109e-07,0.0,0.00033951300652081964
2005-05-26,0.000339670382015835,3.2570888257349556e-07,2.652868266518535e-07,7.721704911805328e-07,3.480077659985124e-08,-8.35101433171931e-07,-1.249785785389052e-07,1.3241493425176813e-06,-1.2310207429207405e-05,-1.1374146747135522e-06,6.726917686174175e-07,3.325974381055957e-07,2.0435837122277324e-06,7.084337425523719e-07,0.0,0.000339670382015835
2005-05-27,0.0003392265695662635,6.185624198559634e-07,3.545778790412849e-07,7.637437091972886e-07,3.480077659985124e-08,-4.0160542289622086e-07,-1.0619996517260322e-07,1.3294178224487242e-06,2.346576124235016e-06,1.2840467196719651e-05,7.151693452317906e-07,2.775110617792194e-07,1.953607393395168e-06,6.881879473573171e-07,0.0,0.0003392265695662635
2005-06-01,0.0003397091601445256,4.0452749224783484e-07,2.2024768848229596e-07,8.006639895381568e-07,3.480077659985124e-08,-8.085365831605759e-07,-6.771841818006171e-06,1.331078531329487e-06,2.4652396202572586e-06,-1.165461471155017e-06,6.837706846767328e-07,3.325974381055957e-07,1.952892440276805e-06,7.129468876879493e-07,0.0,0.0003397091601445256
2005-06-03,0.00033909747766174816,-1.0042946834463965e-05,-3.5701193081498974e-06,7.52295301158039e-07,2.2211287296871557e-08,-3.0021924343680095e-07,-2.592207425930144e-07,1.3518911613480172e-06,2.259087020864171e-06,-8.345468182101669e-07,-7.3043582532944905e-06,3.128564417267088e-07,1.8738338972184805e-06,7.038903845932898e-07,0.0,0.00033909747766174816
2005-06-10,0.00033993895941299113,3.650776424207001e-07,2.3802519179929702e-07,8.159640025235733e-07,3.480077659985124e-08,-8.28341211666874e-07,-2.6079950245198975e-07,1.2174998234257464e-06,2.453222233681893e-06,-1.136448212615682e-06,6.345262295525507e-07,3.325974381055957e-07,-2.7019589951658136e-05,5.65411723076633e-07,0.0,0.00033993895941299113
2005-06-14,0.00033892600039364543,6.588082192434818e-07,3.284942745263755e-07,8.074375290408037e-07,3.480077659985124e-08,1.5683379251098786e-05,-1.9108466885098513e-07,1.2997909962185906e-06,2.49397055793264e-06,-7.400737570207454e-07,8.499748696763392e-07,3.2276998841644034e-07,2.2409494297630006e-06,6.993237090131715e-07,0.0,0.00033892600039364543
2005-06-15,0.0003394355218854776,4.430720462428565e-07,2.3964928898229073e-07,-9.451968023781884e-06,3.480077659985124e-08,-8.216907869437956e-07,-3.4030529130398374e-08,1.3122556615925615e-06,2.3999172798436895e-06,-1.1150519727650298e-06,6.979748796180748e-07,-4.358089370549798e-06,1.9378449469790258e-06,6.136403586407148e-07,0.0,0.0003394355218854776
2005-06-24,0.0003392133442261939,2.226582306899167e-07,2.5990078935960534e-07,6.909690810641947e-07,3.480077659985124e-08,-8.875637259473159e-07,-1.7321159028195688e-07,-3.5572082091722853e-06,-3.4081051687499815e-05,-1.2404752246651486e-06,6.423402256028121e-07,3.46144018819511e-07,1.918021800313825e-06,6.323381059387155e-07,0.0,0.0003392133442261939
2005-06-30,0.00033949674484295793,4.1757805692190775e-07,2.640727916033623e-07,8.159640025235733e-07,3.480077659985124e-08,-8.184876587274022e-07,-1.49706796065148e-07,1.331078531329487e-06,2.4897320246664178e-06,-1.039321656525761e-06,7.023123408884951e-07,3.325974381055957e-07,2.0395006821799766e-06,7.129468876879493e-07,0.0,0.00033949674484295793
2005-07-01,0.0003411644726504197,5.83811409982845e-07,2.962570290179181e-07,7.933231917486577e-07,2.5738170479559492e-08,-3.2635062837092246e-07,4.780081304035798e-06,1.2097080461436693e-06,2.4139379627841722e-06,9.355831271129753e-06,7.199284643168244e-07,2.8623810158503247e-07,1.910486163918012e-06,6.827711353174054e-07,0.0,0.0003411644726504197
2005-07-08,0.00033916372911389634,1.7788351597696493e-06,-3.5701193081498974e-06,7.864554483143034e-07,2.2211287296871557e-08,-4.445725203888324e-07,-2.698003229372021e-07,1.3875801688118765e-06,2.3273697922341297e-06,-7.819560215275934e-07,-7.525973729005481e-06,3.206864629355916e-07,1.9213438225456125e-06,7.379877330299897e-07,0.0,0.00033916372911389634
2005-07-13,0.0003399900427960512,3.650776424207001e-07,2.3802519179929702e-07,7.911348761389503e-07,3.480077659985124e-08,-8.28341211666874e-07,-2.8259298998398635e-07,1.192645298747213e-06,2.4508677798791023e-06,-1.139085290862001e-06,6.345262295525507e-07,3.325974381055957e-07,-2.996199404703248e-05,5.65411723076633e-07,0.0,0.0003399900427960512
2005-07-14,0.0003391457996655422,3.811252580935718e-07,2.62230353117816e-07,-9.261268077074922e-06,3.480077659985124e-08,-6.964723815657387e-06,2.994758710310647e-08,1.312656963861142e-06,2.327301792706129e-06,-9.887090564675651e-07,6.777342247434211e-07,-4.270112519879235e-06,2.029078722659941e-06,7.321628311411308e-07,0.0,0.0003391457996655422
2005-07-15,0.0003450492117663221,3.8064537396228624e-07,2.3873068797660895e-07,8.045412738832936e-07,3.480077659985124e-08,-7.818364740894554e-07,-1.1379910388831032e-07,1.3558105615632721e-06,2.625256149246558e-06,-1.0556163944281793e-06,7.032388452461004e-07,4.180650605372181e-07,1.959852720738334e-06,-3.0647074371195095e-07,0.0,0.0003450492117663221
2005-07-27,0.0003453167165265527,2.914798672844452e-07,2.4651186763993286e-07,7.892587870842293e-07,3.272312943679149e-08,-8.885001240521244e-07,-6.962702528711013e-08,-4.983573014124969e-06,-1.0058874909620081e-05,-1.0746370336774479e-06,6.690403555452809e-07,4.5000211336565223e-07,1.9694455841425695e-06,6.631199329388095e-07,0.0,0.0003453167165265527
2005-07-29,0.00033949674484295793,4.1757805692190775e-07,2.640727916033623e-07,8.159640025235733e-07,3.480077659985124e-08,-8.184876587274022e-07,-1.49706796065148e-07,1.331078531329487e-06,2.4897320246664178e-06,-1.039321656525761e-06,7.023123408884951e-07,3.325974381055957e-07,2.0395006821799766e-06,7.129468876879493e-07,0.0,0.00033949674484295793
2005-08-01,0.00033936031225355675,3.8901092017532906e-07,2.407586284236641e-07,8.792542267849018e-07,2.5738170479559492e-08,-7.432328642021039e-07,7.755889380149774e-06,1.2344128925254613e-06,2.557093863215574e-06,-8.265692713168527e-07,7.070714599735289e-07,3.1717653757376617e-07,1.9999930618674312e-06,7.075300756480377e-07,0.0,0.00033936031225355675
2005-08-05,0.00033968980769910633,-4.3539958581386374e-06,2.640727916033623e-07,7.993981659385023e-07,3.480077659985124e-08,-8.770405930315981e-07,-1.0917823254125783e-07,1.2877036266539677e-06,2.364934472548973e-06,-1.1006528616788515e-06,-4.5160444080040986e-06,3.2655421760665476e-07,2.0570607721899956e-06,6.964951515169723e-07,0.0,0.00033968980769910633
2005-08-09,0.00033949674484295793,4.1757805692190775e-07,2.640727916033623e-07,8.159640025235733e-07,3.480077659985124e-08,-8.184876587274022e-07,-1.49706796065148e-07,1.331078531329487e-06,2.4897320246664178e-06,-1.039321656525761e-06,7.023123408884951e-07,3.325974381055957e-07,2.0395006821799766e-06,7.129468876879493e-07,0.0,0.00033949674484295793
2005-08-11,0.00033892600039364543,6.588082192434818e-07,3.284942745263755e-07,8.074375290408037e-07,3.480077659985124e-08,1.5683379251098786e-05,-1.9108466885098513e-07,1.2997909962185906e-06,2.49397055793264e-06,-7.400737570207454e-07,8.499748696763392e-07,3.2276998841644034e-07,2.2409494297630006e-06,6.993237090131715e-07,0.0,0.00033892600039364543
2005-08-12,0.00033950925042095057,4.3066115079035623e-07,3.332312036422012e-07,7.954355926804508e-07,3.9555505386397364e-08,-7.0659677016576e-07,-1.6225885582885223e-07,1.3007420363177717e-06,2.4529580527122445e-06,-1.0618079858400043e-06,6.851992744427049e-07,3.248937261705747e-07,1.27433593559985e-06,6.422638791152023e-07,0.0,0.00033950925042095057
2005-08-16,0.00031568548343475643,4.5812021435884557e-07,3.2060151445850945e-07,-8.72700992482371e-06,3.480077659985124e-08,-8.47489168008259e-07,-1.5985807596592576e-07,1.1092612875478988e-06,2.3501556532759556e-06,-1.1687104457000418e-06,6.884192178933366e-07,-2.13327568111816e-06,1.350640950659714e-06,-1.1431121088953385e-05,0.0,0.00031568548343475643
2005-08-24,0.0003194682564049836,3.960914124753485e-07,2.2868833645494162e-07,7.399686757419366e-07,3.272312943679149e-08,-8.734325532979068e-07,-1.1584729151834956e-07,-1.965460013483005e-05,-8.637231953795705e-06,-1.068954763719428e-06,6.040769820034476e-07,3.092084158274707e-07,1.3804651910666568e-06,4.2385021003832426e-07,0.0,0.0003194682564049836
2005-08-26,0.0003158376747799612,2.983279047848034e-07,2.5816445290209256e-07,8.125268760287813e-07,3.9523416644784935e-08,-8.12175150469308e-07,-1.6993044759937562e-07,1.4315980447245042e-06,2.4143206377838376e-06,-6.002842702323916e-06,6.726225913482439e-07,3.2936370747831276e-07,1.5629658625568498e-06,5.38314128012704e-07,0.0,0.0003158376747799612
2005-09-01,0.00032855193561474107,3.9361381685735326e-07,2.1412245524392762e-07,7.966341119129974e-07,3.480077659985124e-08,-8.398573242345008e-07,-1.442944814310437e-05,1.2745377749785046e-06,2.4624664147428755e-06,-1.17793817971217e-06,6.726374935728525e-07,3.318193275890275e-07,1.5532686954401817e-06,7.004301522630611e-07,0.0,0.00032855193561474107
2005-09-02,0.00031555852468328257,9.999829224702901e-07,-3.617704374341745e-06,8.155800879175704e-07,2.4649333032666515e-08,-6.48280401245382e-07,-2.612739656682813e-07,1.4136541407755004e-06,2.3628032325434457e-06,-8.169145607197729e-07,6.817276937092905e-07,3.234028324071205e-07,1.599631515627044e-06,5.759910623219223e-07,0.0,0.00031555852468328257
2005-09-13,0.0003399552464568434,3.650776424207001e-07,2.3802519179929702e-07,8.159640025235733e-07,3.480077659985124e-08,-8.28341211666874e-07,-2.8259298998398635e-07,1.2174998234257464e-06,2.453222233681893e-06,-1.139085290862001e-06,6.345262295525507e-07,3.325974381055957e-07,-2.8481000072752433e-05,5.65411723076633e-07,0.0,0.0003399552464568434
2005-09-14,0.0003339300656541255,6.486072017750361e-07,4.113704760629294e-07,8.09770908190709e-07,3.480077659985124e-08,1.200688686514821e-05,-1.6998574844373789e-07,1.1341816493303368e-06,2.291294008506765e-06,-7.366285112298992e-07,8.506217236891338e-07,3.2276998841644034e-07,1.7754054279007322e-06,-7.095432245648191e-06,0.0,0.0003339300656541255
2005-09-15,0.00033956709133698646,4.708876186351374e-07,2.6329212197381376e-07,-9.428137476044634e-06,3.480077659985124e-08,-8.291787031136186e-07,-7.716423338895836e-08,1.2798826874847144e-06,2.410444676011359e-06,-1.0826792000397483e-06,7.001899676384846e-07,3.209327357094853e-07,2.0193083765071967e-06,7.001076286944942e-07,0.0,0.00033956709133698646
2005-09-20,0.00033949674484295793,4.1757805692190775e-07,2.640727916033623e-07,8.159640025235733e-07,3.480077659985124e-08,-8.184876587274022e-07,-1.49706796065148e-07,1.331078531329487e-06,2.4897320246664178e-06,-1.039321656525761e-06,7.023123408884951e-07,3.325974381055957e-07,2.0395006821799766e-06,7.129468876879493e-07,0.0,0.00033949674484295793
2005-09-27,0.00034007511111872556,2.6394755966998783e-07,2.774617133230347e-07,7.004789121011623e-07,3.480077659985124e-08,-8.752774644881086e-07,-1.5875262721419686e-07,1.2445584741598506e-06,-3.544728690248583e-05,-1.2523010714810885e-06,6.262794180971605e-07,3.210004807865113e-07,1.9515503434238994e-06,6.424940908350001e-07,0.0,0.00034007511111872556
2005-09-28,0.00033962447234083025,3.7628872794183666e-07,2.4651186763993286e-07,8.053374519657147e-07,3.480077659985124e-08,-8.307739201866096e-07,-1.6416575913290803e-07,-4.8889613497671946e-06,2.4376940418878932e-06,-1.0274958097098215e-06,7.183731483941469e-07,3.577409761385954e-07,1.9939851181704094e-06,6.631199329388095e-07,0.0,0.00033962447234083025
