date,vix_main_effect,surp_nfp,surp_unemp,surp_corecpi,surp_gdp,surp_retsailes,surp_ism_pmi,surp_dgorders,surp_newhomesales,surp_consconfid,surp_avghourlyearnmings,surp_cpi,surp_tradebal,surp_indprod,surp_fedratedec,VIXCLS
2005-02-02,-0.0001278819952382555,-2.5809996813590263e-07,1.54295382611916e-07,-9.868786822030252e-08,-2.4341946734481045e-08,-3.696412552094256e-07,6.821628503609166e-08,-2.5450291200698356e-07,-3.098850015450815e-07,6.20010433373883e-07,-5.802253604726395e-07,-1.3259761768798482e-07,-1.0868853572331923e-06,-2.2269500865765316e-07,0.0,-0.0001278819952382555
2005-02-04,-0.00012016927957770052,6.3611439432904135e-06,6.137650426972667e-07,-1.0892083307057736e-07,-2.076326682234544e-08,-2.2312080441072046e-07,1.16020836544945e-07,-2.9014578780065673e-07,-2.463393427857308e-07,2.803714701057321e-07,6.983534554397545e-06,-1.0956256832656763e-07,-1.0372351726777391e-06,-2.488921779138977e-07,0.0,-0.00012016927957770052
2005-02-10,-0.00013210577858820024,-3.165258629516056e-07,-4.932403311698993e-08,-1.1092239735299327e-07,-2.5955479159382286e-08,-5.123470864949446e-07,1.243699776407284e-07,-2.8187023879160294e-07,-2.825202128264637e-07,5.393694826623368e-07,-5.632529575234391e-07,-7.472659103008013e-08,7.738690791686038e-06,-1.8846923975126696e-07,0.0,-0.00013210577858820024
2005-02-15,-0.00012511745141918803,-3.2792008863751775e-07,-1.552918781854937e-08,-9.868786822030252e-08,-2.4341946734481045e-08,-6.462745052208352e-06,8.525091523739169e-08,-2.264405608848667e-07,-3.076885191862505e-07,6.029621770626895e-07,-6.217977798673572e-07,-1.3783587124950157e-07,-1.1219607862695749e-06,-2.2688881980882725e-07,0.0,-0.00012511745141918803
2005-02-16,-0.00012033376314589656,-3.450019139041407e-07,-1.552918781854937e-08,-1.0208305527370454e-07,-2.4341946734481045e-08,-1.3271429700965718e-07,5.3282816650842894e-08,-2.9884377712821997e-07,-2.8366267984140544e-07,6.353852958371141e-07,-4.576492405579917e-07,-1.3259761768798482e-07,-1.0578316468599401e-06,1.8782295431880784e-06,0.0,-0.00012033376314589656
2005-02-23,-0.00012520034498986386,-1.674443330721858e-07,1.54295382611916e-07,-9.868786822030252e-08,-2.4341946734481045e-08,-3.3798056287242836e-07,6.821628503609166e-08,-1.6791920485632843e-07,-3.098850015450815e-07,6.20010433373883e-07,-5.802253604726395e-07,8.304416789196352e-07,-1.0868853572331923e-06,-2.0090640919058889e-07,0.0,-0.00012520034498986386
2005-02-24,-0.00013195989690162484,-3.9136777832763973e-07,-1.552918781854937e-08,-9.868786822030252e-08,-1.434636999146349e-08,-5.607623011869961e-07,2.4461033300082317e-08,-2.2707314050239495e-06,-3.098850015450815e-07,6.20010433373883e-07,-5.802253604726395e-07,-1.3259761768798482e-07,-1.1080621451377475e-06,-2.253585722342429e-07,0.0,-0.00013195989690162484
2005-02-28,-0.0001251797237248154,-2.914652904305769e-07,1.54295382611916e-07,-9.868786822030252e-08,-2.4341946734481045e-08,-2.924917411912723e-07,3.090564576280572e-08,-1.7843607682358377e-07,2.33860239566381e-06,6.26460189738411e-07,-5.432903299627277e-07,-1.2690120273308634e-07,-1.0480249161932348e-06,-1.9199914383205046e-07,0.0,-0.0001251797237248154
2005-03-01,-0.00012527813637969084,-1.654543907653323e-07,1.54295382611916e-07,-9.868786822030252e-08,-2.4341946734481045e-08,-3.433759269865145e-07,9.900090792869815e-06,-5.3272833880350055e-08,-3.1203814097263947e-07,4.353387734176187e-07,-5.351640672772212e-07,-1.0865453269926688e-07,-9.363303287282395e-07,-2.2881750473605501e-07,0.0,-0.00012527813637969084
2005-03-04,-0.0001271069147547018,9.706794029857171e-07,-1.3588276084234036e-07,-9.445135114631318e-08,-3.971805393309792e-08,-3.7758014359518407e-07,1.4685323282605617e-07,-3.274861446153719e-07,-3.3500775540916947e-07,4.814374021073192e-07,5.997069347969767e-06,-1.045282203455631e-07,-1.0625374586975568e-06,-3.3841765639895983e-07,0.0,-0.0001271069147547018
