date,vix_main_effect,surp_nfp,surp_unemp,surp_corecpi,surp_gdp,surp_retsailes,surp_ism_pmi,surp_dgorders,surp_newhomesales,surp_consconfid,surp_avghourlyearnmings,surp_cpi,surp_tradebal,surp_indprod,surp_fedratedec,VIXCLS
2005-02-02,-0.00038973161167239675,-6.92961974982725e-07,-5.849303928479179e-07,-1.6373143777629344e-07,0.0,-2.3208644614155025e-06,-5.035396147849155e-07,-1.5021369715426059e-06,-8.514585131455225e-07,-1.6380833306404517e-06,-3.0397964156761173e-07,-1.739286458200131e-07,-1.3430762196699638e-06,-1.8848277985446028e-06,0.0,-0.00038973161167239675
2005-02-04,-0.00035245332088259634,1.0287850343509663e-05,8.419411091577182e-06,-1.6373143777629344e-07,0.0,-1.9665862614211397e-06,-1.657574092501963e-07,-1.0341753293236955e-06,-7.493907828801709e-07,7.033260861830419e-06,4.229027507435126e-06,-1.2521977046354134e-07,-1.2725252310295393e-06,-1.4106308718241497e-06,0.0,-0.00035245332088259634
2005-02-10,-0.0003900299259926529,-7.430213246833339e-07,-5.819065199174561e-07,-1.6373143777629344e-07,0.0,-2.1876144232715655e-06,-4.2163130750982916e-07,-1.4743264675614333e-06,-7.090765787288396e-07,-1.5315197344292584e-06,-3.0558782076130057e-07,-1.739286458200131e-07,1.1178826370135368e-05,-1.881800402898902e-06,0.0,-0.0003900299259926529
2005-02-15,-0.000353285408562554,-6.372353087816613e-07,-4.0577198243078677e-07,-1.6373143777629344e-07,0.0,2.822123708048835e-05,-1.9041837276402182e-07,-1.0856834734412837e-06,-7.839227416497252e-07,-1.5019911564463155e-06,-3.0397964156761173e-07,-1.739286458200131e-07,-1.2235793634604982e-06,-1.4205203689292874e-06,0.0,-0.000353285408562554
2005-02-16,-0.0003398485435350604,-6.392706931287666e-07,-5.380251248548889e-07,-1.6373143777629344e-07,0.0,-2.226575187891004e-06,-1.2984654128977258e-07,-8.832680433063057e-07,-5.901900207500495e-07,-1.6131233367993156e-06,-3.1197363097878214e-07,-1.739286458200131e-07,-1.2504156423507599e-06,2.0545022571445154e-05,0.0,-0.0003398485435350604
2005-02-23,-0.00037884935007657814,-6.92961974982725e-07,-5.849303928479179e-07,1.2719250109740321e-08,0.0,-2.2729560380469587e-06,-2.3248475936725626e-07,-1.2363043198737198e-06,-8.514585131455225e-07,-1.4764031316293594e-06,-2.5892442990863566e-07,2.9207015786735274e-06,-1.3430762196699638e-06,-1.8848277985446028e-06,0.0,-0.00037884935007657814
2005-02-24,-0.00039008925793735294,-5.706192682864679e-07,-7.40636574155377e-07,-7.823239143850213e-08,0.0,-2.1486787022552368e-06,-2.7729451343578985e-07,1.729776568799631e-05,-7.95469324413893e-07,-1.8183532542310116e-06,-2.670152188861975e-07,-8.396799731313759e-08,-1.2823767119302227e-06,-1.8631330676836854e-06,0.0,-0.00039008925793735294
2005-02-28,-0.0003846311553590923,-7.162335910401424e-07,-5.769159422950595e-07,1.2719250109740321e-08,0.0,-2.250663889750633e-06,-1.8099569462708045e-07,-1.2648187775947984e-06,8.914262886695322e-06,-1.5852763255519354e-06,-3.092763429278257e-07,-1.739286458200131e-07,-9.692086461414543e-07,-1.6187938837271441e-06,0.0,-0.0003846311553590923
2005-03-01,-0.00038411595011997817,-6.92961974982725e-07,-6.029692040206415e-07,3.398760905636132e-09,0.0,-2.3208644614155025e-06,3.917008683431555e-06,-1.2240230636870148e-06,-8.295866820585682e-07,-1.6564909516483699e-06,-3.0397964156761173e-07,-1.739286458200131e-07,-1.3430762196699638e-06,-1.8776488945286745e-06,0.0,-0.00038411595011997817
2005-03-04,-0.00038371916487657683,1.885543494180443e-06,-5.56749965293188e-07,1.2719250109740321e-08,0.0,-2.109896188687435e-06,-2.617815747428978e-07,-1.2302774319625217e-06,-8.392262720806679e-07,7.5099166993884014e-06,4.229027507435126e-06,-1.2521977046354134e-07,-1.3072685584932009e-06,-1.8945836529196326e-06,0.0,-0.00038371916487657683
2005-03-11,-0.0003610670991213101,-1.1435587944965089e-06,-5.200766035356975e-07,1.2719250109740321e-08,0.0,-2.273030775487782e-06,-1.972620891797694e-07,-1.630128191486594e-06,-9.831112577948498e-07,-1.433031338043446e-06,-3.0397964156761173e-07,-1.739286458200131e-07,9.737634655233307e-06,-1.3286800864812533e-06,0.0,-0.0003610670991213101
2005-03-15,-0.0003610589436429732,-1.1435587944965089e-06,-6.056512877541532e-07,1.2719250109740321e-08,0.0,5.2839626060203345e-06,-2.3560875730256527e-07,-1.5053604121153286e-06,-1.1579569046748317e-06,-1.2712632232237375e-06,-3.092905718002554e-07,-1.3237771518937989e-07,-1.165488294486264e-06,-1.3168370904337346e-06,0.0,-0.0003610589436429732
2005-03-16,-0.00030524614364096914,-9.107379342656378e-07,-2.9356379371444157e-07,1.2719250109740321e-08,0.0,-1.4061524642011812e-06,-6.690768156211357e-07,-1.813404729569759e-06,-1.203422038073882e-06,-3.775052888148745e-07,-3.1197363097878214e-07,-1.739286458200131e-07,-1.193230982064376e-06,7.065879214300411e-06,0.0,-0.00030524614364096914
2005-03-22,-0.00022713179551292167,-7.536327314202601e-07,-3.404690617074707e-07,1.2719250109740321e-08,0.0,-1.3242134221425666e-06,-3.784219849489278e-07,-1.3616396738786227e-06,-1.041384783479052e-06,-4.182959578427006e-07,-3.0397964156761173e-07,-1.739286458200131e-07,-1.215599628240287e-06,-7.258376876400507e-07,0.0,-0.00022713179551292167
2005-03-23,-0.0002693306907204296,-7.536327314202601e-07,-3.404690617074707e-07,1.2719250109740321e-08,0.0,-1.5004417377256798e-06,-2.785055662197888e-07,-1.3616396738786227e-06,-1.041384783479052e-06,-4.182959578427006e-07,-3.0397964156761173e-07,-1.739286458200131e-07,-1.215599628240287e-06,-9.074703638778464e-07,0.0,-0.0002693306907204296
2005-03-24,-0.0002942457107868704,-7.126998196905936e-07,-2.6133689737011767e-07,6.077375041126566e-09,0.0,-1.3534142125678622e-06,-6.244441701108595e-07,1.8738469512456002e-05,4.770757036522672e-06,-3.345521524346137e-07,-2.686205864387548e-07,-8.396799731313759e-08,-1.1270784193409716e-06,-8.781794513154696e-07,0.0,-0.0002942457107868704
2005-04-01,-0.0002684071627630176,6.3303595579164356e-06,4.250693871797561e-06,1.2719250109740321e-08,0.0,-1.4455495699784504e-06,1.2726226359825164e-06,-1.104862193696065e-06,-9.818933034077765e-07,7.929886948606203e-06,-2.538664716093428e-07,-1.739286458200131e-07,-9.687325326478066e-07,-7.655528373185364e-07,0.0,-0.0002684071627630176
2005-04-12,-0.00035309625228217584,-6.92961974982725e-07,-5.200766035356975e-07,-1.6373143777629344e-07,0.0,-2.273030775487782e-06,-1.8672082558519957e-07,-1.1627194719281324e-06,-6.363443344093297e-07,-1.5947115370545383e-06,-3.0397964156761173e-07,-1.739286458200131e-07,1.188348875120301e-05,-1.444221146482873e-06,0.0,-0.00035309625228217584
2005-04-13,-0.0002997808467799667,-8.946705287299964e-07,-3.61189956613706e-07,1.2719250109740321e-08,0.0,2.0672993316541503e-06,-7.025829605590095e-07,-1.8053328881904572e-06,-1.2273357653186344e-06,-4.6051418676624345e-07,-3.092905718002554e-07,-1.3237771518937989e-07,-1.165488294486264e-06,-9.089719775637251e-07,0.0,-0.0002997808467799667
2005-04-15,-0.0002341038844257749,-1.0491064578689851e-06,-7.045462362320691e-07,1.2719250109740321e-08,0.0,-1.561137812550881e-06,-1.3463573272523072e-06,-1.1033687708546504e-06,-1.041384783479052e-06,-2.799921014750131e-07,-3.0397964156761173e-07,-1.739286458200131e-07,-8.588257018853096e-07,-3.9480507551161807e-07,0.0,-0.0002341038844257749
2005-04-20,-0.00019778077493375656,-7.536327314202601e-07,-3.404690617074707e-07,1.2719250109740321e-08,0.0,-1.561137812550881e-06,-1.3463573272523072e-06,-1.1033687708546504e-06,-1.041384783479052e-06,-4.1790348634789596e-08,-3.0397964156761173e-07,-1.739286458200131e-07,-8.588257018853096e-07,-3.9480507551161807e-07,0.0,-0.00019778077493375656
2005-04-26,-0.0002024492716424614,-7.584735765152399e-07,-3.5212175453143876e-07,1.2719250109740321e-08,0.0,-1.3342629460238303e-06,-3.8878795196137753e-07,-1.0877824727546536e-06,1.886864422742465e-06,-4.182959578427006e-07,-3.055850091201691e-07,-1.739286458200131e-07,-1.2378892608347351e-06,-5.209628239940226e-07,0.0,-0.0002024492716424614
2005-04-27,-0.0002029142701641905,-6.312900247240029e-07,-2.496842045461496e-07,6.077375041126566e-09,0.0,-1.1520276629823008e-06,-4.1212050900088145e-07,1.1858442330862348e-05,-9.85395594747423e-07,-3.716838744592812e-07,-2.670152188861975e-07,-8.396799731313759e-08,-1.1549001205005467e-06,-5.068642748345643e-07,0.0,-0.0002029142701641905
2005-04-28,-0.00020486099190145343,-7.536327314202601e-07,-3.404690617074707e-07,1.2719250109740321e-08,0.0,-1.561137812550881e-06,-1.3463573272523072e-06,-1.1033687708546504e-06,-1.041384783479052e-06,-4.1790348634789596e-08,-3.0397964156761173e-07,-1.739286458200131e-07,-8.588257018853096e-07,-9.052613054924341e-07,0.0,-0.00020486099190145343
2005-04-29,-0.00017756423227085414,-7.536327314202601e-07,-3.122886341527407e-07,1.2719250109740321e-08,0.0,-1.376292053920222e-06,-8.269418233547248e-07,-1.1429838714062408e-06,-9.93199699278191e-07,1.2233334050846471e-06,-2.538664716093428e-07,-1.739286458200131e-07,-8.390854222952513e-07,-5.285590056954818e-07,0.0,-0.00017756423227085414
2005-05-02,-0.00020243850333857627,-7.536327314202601e-07,-3.585078728801943e-07,3.398760905636132e-09,0.0,-1.3242134221425666e-06,-6.960392893814925e-07,-1.1403818441215824e-06,-1.019512952392098e-06,-4.367035788506186e-07,-3.0397964156761173e-07,-1.739286458200131e-07,-1.215599628240287e-06,-5.213801016795535e-07,0.0,-0.00020243850333857627
2005-05-03,-0.0002111750397590212,-7.536327314202601e-07,-3.404690617074707e-07,1.2719250109740321e-08,0.0,-1.3242134221425666e-06,-3.784219849489278e-07,-1.1033687708546504e-06,-1.041384783479052e-06,-4.182959578427006e-07,-3.0397964156761173e-07,-1.739286458200131e-07,-1.215599628240287e-06,-5.285590056954818e-07,0.0,-0.0002111750397590212
2005-05-06,-0.0002694317748389642,4.366430329757907e-06,-3.404690617074707e-07,1.2719250109740321e-08,0.0,-1.4588907393183297e-06,-2.785055662197888e-07,-1.268511253376115e-06,-1.0361464819667929e-06,-3.8254262915266455e-07,-3.0397964156761173e-07,-1.739286458200131e-07,-1.2401239977415747e-06,-9.074703638778464e-07,0.0,-0.0002694317748389642
2005-05-11,-0.00021915735257556164,-8.03692081120869e-07,-3.3744518877700885e-07,1.2719250109740321e-08,0.0,-1.1909633839986296e-06,-2.965136776738416e-07,-1.3338291698974501e-06,-8.990028490623693e-07,-3.074865687741126e-07,-3.0558782076130057e-07,-1.739286458200131e-07,1.2854387988825486e-05,-5.25531610049781e-07,0.0,-0.00021915735257556164
2005-05-12,-0.0002052486779258048,-6.979060652191965e-07,-2.642320376916236e-07,1.2719250109740321e-08,0.0,2.0834725186909655e-05,-1.3148322042436427e-06,-9.852107245581245e-07,-9.432399821705717e-07,-1.5465115110415536e-08,-3.0397964156761173e-07,-1.739286458200131e-07,-6.878325219795995e-07,-9.035466194500034e-07,0.0,-0.0002052486779258048
2005-05-17,-0.00021130703290373403,-6.999414495663016e-07,-2.9356379371444157e-07,1.2719250109740321e-08,0.0,-1.3205770096353114e-06,-2.8632503046601404e-07,-1.0782176747325256e-06,-1.0562791741294736e-06,-4.1952955892171355e-07,-3.1197363097878214e-07,-1.739286458200131e-07,-1.2159299483992378e-06,5.20444863200799e-06,0.0,-0.00021130703290373403
2005-05-18,-0.0002988381712455266,-9.107379342656378e-07,-3.404690617074707e-07,-2.205633598575419e-07,0.0,-1.5004417377256798e-06,-5.202744098421207e-07,-1.6141109747100342e-06,-1.1885276474234603e-06,-3.811642358180331e-07,-3.0397964156761173e-07,-1.739286458200131e-07,-1.165488294486264e-06,-9.074703638778464e-07,0.0,-0.0002988381712455266
2005-05-25,-0.0003708777061248243,-8.048471200178637e-07,-5.676928783561701e-07,1.2719250109740321e-08,0.0,-2.2017167901008153e-06,-1.2394744923147685e-07,3.784347235180582e-06,-1.1191487867796576e-06,-1.393571943310488e-06,-3.0397964156761173e-07,-1.739286458200131e-07,-1.1584458566905035e-06,-1.3153354767478558e-06,0.0,-0.0003708777061248243
2005-05-26,-0.0003792990083876245,-7.162335910401424e-07,-5.769159422950595e-07,1.2719250109740321e-08,0.0,-2.250663889750633e-06,-1.8099569462708045e-07,-1.2648187775947984e-06,8.914262886695322e-06,-1.4235961265408432e-06,-3.092763429278257e-07,-1.739286458200131e-07,-9.692086461414543e-07,-1.6187938837271441e-06,0.0,-0.0003792990083876245
2005-05-27,-0.00038416270391146033,-6.911473765351444e-07,-5.889728436392107e-07,1.2719250109740321e-08,0.0,-2.1278786817769033e-06,-1.7987846938181847e-07,-1.5011453419094198e-06,-8.488083090957521e-07,1.4997510975864498e-05,-3.0397964156761173e-07,-1.739286458200131e-07,-1.2791567236124745e-06,-1.862603910907343e-06,0.0,-0.00038416270391146033
2005-06-01,-0.00037878380314851037,-6.92961974982725e-07,-6.029692040206415e-07,3.398760905636132e-09,0.0,-2.3208644614155025e-06,3.917008683431555e-06,-1.2240230636870148e-06,-8.295866820585682e-07,-1.4948107526372776e-06,-3.0397964156761173e-07,-1.739286458200131e-07,-1.3430762196699638e-06,-1.8776488945286745e-06,0.0,-0.00037878380314851037
2005-06-03,-0.00038444951670708123,1.0287850343509663e-05,8.837439538844098e-06,1.2719250109740321e-08,0.0,-2.1405496542462177e-06,-1.5768139212868327e-07,-1.2701811007236124e-06,-7.97575867081032e-07,-1.5791417938239553e-06,5.223581188145386e-06,-1.2521977046354134e-07,-1.3346053355711398e-06,-1.7798685740524496e-06,0.0,-0.00038444951670708123
2005-06-10,-0.0003843559266227302,-7.430213246833339e-07,-5.819065199174561e-07,1.2719250109740321e-08,0.0,-2.2060171942107363e-06,-1.7514452697536413e-07,-1.2851468200441141e-06,-6.813964808367163e-07,-1.5315197344292584e-06,-3.0558782076130057e-07,-1.739286458200131e-07,8.182611815357898e-06,-1.881800402898902e-06,0.0,-0.0003843559266227302
2005-06-14,-0.00038433140368642594,-6.768945694470836e-07,-6.056512877541532e-07,1.2719250109740321e-08,0.0,5.361123600616999e-06,-2.3560875730256527e-07,-1.112258688616153e-06,-8.902666310406966e-07,-1.4329434222348298e-06,-3.092905718002554e-07,-1.3237771518937989e-07,-1.3430762196699638e-06,-1.8863294122304815e-06,0.0,-0.00038433140368642594
2005-06-15,-0.0003814576743068247,-6.902288209102728e-07,-5.72948274644205e-07,2.8392519778025415e-06,0.0,-2.2729560380469587e-06,-3.7299884574197853e-07,-1.3339944553583171e-06,-8.514585131455225e-07,-1.6380833306404517e-06,-2.5892442990863566e-07,2.9207015786735274e-06,-1.3430762196699638e-06,1.1530199200379056e-06,0.0,-0.0003814576743068247
2005-06-24,-0.00038478059517948175,-8.281187360752808e-07,-5.596784278033118e-07,1.2719250109740321e-08,0.0,-2.131516218435946e-06,-7.245838449130103e-08,3.83248578161107e-06,8.914262886695322e-06,-1.502445137233064e-06,-3.092763429278257e-07,-1.739286458200131e-07,-9.62166208345694e-07,-1.6187938837271441e-06,0.0,-0.00038478059517948175
2005-06-30,-0.00038406791749057926,-6.92961974982725e-07,-5.849303928479179e-07,1.2719250109740321e-08,0.0,-2.3208644614155025e-06,-2.3248475936725626e-07,-1.3129573240252864e-06,-8.514585131455225e-07,-1.6380833306404517e-06,-3.0397964156761173e-07,-1.739286458200131e-07,-1.3430762196699638e-06,-1.8848277985446028e-06,0.0,-0.00038406791749057926
2005-07-01,-0.00038107372464297876,-6.329407833197858e-07,-5.663953077060827e-07,-1.6373143777629344e-07,0.0,-2.0952884151897617e-06,-2.1043328067750835e-07,-1.5687999079130792e-06,-8.213745271463824e-07,1.4228872233106881e-05,-3.0397964156761173e-07,-1.739286458200131e-07,-1.1744912414883355e-06,-1.7719920842577536e-06,0.0,-0.00038107372464297876
2005-07-08,-0.0003815670005745534,1.0287850343509663e-05,8.837439538844098e-06,-1.6373143777629344e-07,0.0,-2.1405496542462177e-06,-4.287362475463424e-07,-1.4593607482409314e-06,-7.97575867081032e-07,-1.5791417938239553e-06,5.223581188145386e-06,-1.2521977046354134e-07,-1.3346053355711398e-06,-1.7798685740524496e-06,0.0,-0.0003815670005745534
2005-07-13,-0.00033969768009214,-7.430213246833339e-07,-5.819065199174561e-07,-1.6373143777629344e-07,0.0,-2.1876144232715655e-06,-1.4003518849760014e-07,-8.806086354472582e-07,-7.090765787288396e-07,-1.520265143883861e-06,-3.0558782076130057e-07,-1.739286458200131e-07,1.1569454450315204e-05,-1.512562700670602e-06,0.0,-0.00033969768009214
2005-07-14,-0.0003402765556981316,-6.372353087816613e-07,-3.599990583402254e-07,2.8392519778025415e-06,0.0,3.079368354145532e-05,-5.987760372108483e-08,-6.221185769476159e-07,-7.533137118370418e-07,-1.5019911564463155e-06,-2.5892442990863566e-07,2.9207015786735274e-06,-1.1720830397642534e-06,-1.4205203689292874e-06,0.0,-0.0003402765556981316
2005-07-15,-0.00033940167289303776,-6.902288209102728e-07,-5.72948274644205e-07,-1.6373143777629344e-07,0.0,-2.3208644614155025e-06,-2.219434957726865e-07,-9.084191394284306e-07,-8.514585131455225e-07,-1.6380833306404517e-06,-3.0397964156761173e-07,-1.739286458200131e-07,-1.3430762196699638e-06,1.5222576222662058e-06,0.0,-0.00033940167289303776
2005-07-27,-0.0003395698294114396,-7.291517121390766e-07,-5.793455711801383e-07,-1.6373143777629344e-07,0.0,-2.2117663139820786e-06,-1.2377215264935677e-07,-1.6247162253003144e-06,5.063790831147476e-06,-1.5552521423215803e-06,-3.055850091201691e-07,-1.739286458200131e-07,-1.3583234144686515e-06,-1.5079939146148438e-06,0.0,-0.0003395698294114396
2005-07-29,-0.00038973161167239675,-6.92961974982725e-07,-5.849303928479179e-07,-1.6373143777629344e-07,0.0,-2.3208644614155025e-06,-5.035396147849155e-07,-1.5021369715426059e-06,-8.514585131455225e-07,-1.6380833306404517e-06,-3.0397964156761173e-07,-1.739286458200131e-07,-1.3430762196699638e-06,-1.8848277985446028e-06,0.0,-0.00038973161167239675
2005-08-01,-0.00038439496966278245,-6.347553817673664e-07,-5.623528569147899e-07,1.2719250109740321e-08,0.0,-2.2882741948283605e-06,8.064177999752397e-07,-1.1914322425116267e-06,-8.240247311961528e-07,-1.6083195581775427e-06,-3.0397964156761173e-07,-1.739286458200131e-07,-1.2384107375458248e-06,-1.7927196142830924e-06,0.0,-0.00038439496966278245
2005-08-05,-0.00037069166684313717,1.885543494180443e-06,-5.849303928479179e-07,1.2719250109740321e-08,0.0,-2.2793134630081533e-06,-2.3248475936725626e-07,-1.3907081800026926e-06,-1.149556578535827e-06,-1.4406498029393234e-06,-3.0397964156761173e-07,-1.739286458200131e-07,-1.1900126639875514e-06,-1.3153354767478558e-06,0.0,-0.00037069166684313717
2005-08-09,-0.00037072826630443485,-6.92961974982725e-07,-5.849303928479179e-07,1.2719250109740321e-08,0.0,-2.3208644614155025e-06,-2.3248475936725626e-07,-1.3129573240252864e-06,-1.1191487867796576e-06,-1.4764031316293594e-06,-3.0397964156761173e-07,-1.739286458200131e-07,-1.165488294486264e-06,-1.3153354767478558e-06,0.0,-0.00037072826630443485
