,mean_abs_shap
vix_main_effect,0.0010081792304238865
surp_nfp,2.0309564901920243e-05
surp_unemp,1.0113362777542527e-06
surp_corecpi,3.0651811547493526e-06
surp_gdp,0.0
surp_retsailes,5.499621616702902e-06
surp_ism_pmi,1.4669228783706255e-05
surp_dgorders,1.047127662514063e-05
surp_newhomesales,1.663889768758114e-05
surp_consconfid,7.571163399622977e-06
surp_avghourlyearnmings,3.7704169161251846e-06
surp_cpi,7.563069055551118e-06
surp_tradebal,3.1517210810538336e-06
surp_indprod,4.567972531351239e-06
surp_fedratedec,0.0
VIXCLS,0.0010081792304238871
