,mean_abs_shap
vix_main_effect,0.0017935939596060494
surp_nfp,2.1161357384801894e-05
surp_unemp,6.089386425101747e-06
surp_corecpi,0.0
surp_gdp,0.0
surp_retsailes,1.5409413669882692e-05
surp_ism_pmi,3.781409643571992e-05
surp_dgorders,7.780473656353861e-06
surp_newhomesales,1.0746605375700181e-05
surp_consconfid,9.269589796146215e-06
surp_avghourlyearnmings,4.687889133501491e-06
surp_cpi,1.2705452947808108e-06
surp_tradebal,6.786321935181826e-06
surp_indprod,3.914307190144944e-06
surp_fedratedec,0.0
VIXCLS,0.00179359395960605
