,mean_abs_shap
vix_main_effect,0.004868047242021146
surp_nfp,3.3700374905709815e-05
surp_unemp,5.819195132290176e-06
surp_corecpi,7.305752361753257e-06
surp_gdp,0.0
surp_retsailes,1.3365727456236801e-05
surp_ism_pmi,7.524718085369411e-05
surp_dgorders,2.7434727197218876e-05
surp_newhomesales,5.123819590832102e-05
surp_consconfid,5.8168766109269444e-05
surp_avghourlyearnmings,4.064782630890017e-06
surp_cpi,3.7885827026127535e-06
surp_tradebal,2.3652204802398754e-05
surp_indprod,1.8690268734674154e-05
surp_fedratedec,0.0
VIXCLS,0.004868047242021151
