,mean_abs_shap
vix_main_effect,0.00034299985542025815
surp_nfp,1.290044567188683e-05
surp_unemp,1.5188783278302094e-06
surp_corecpi,0.0
surp_gdp,0.0
surp_retsailes,6.838799581308448e-06
surp_ism_pmi,7.85644084373997e-06
surp_dgorders,4.466315084695313e-06
surp_newhomesales,2.3290132451566513e-06
surp_consconfid,2.6750984550608437e-06
surp_avghourlyearnmings,4.534391412821903e-06
surp_cpi,5.340269145759377e-07
surp_tradebal,4.0293711047939444e-06
surp_indprod,3.040049233000937e-06
surp_fedratedec,0.0
VIXCLS,0.0003429998554202584
