,mean_abs_shap
vix_main_effect,0.00027612744719590783
surp_nfp,1.916142857875915e-06
surp_unemp,7.300696823825033e-07
surp_corecpi,1.8828733037441164e-06
surp_gdp,0.0
surp_retsailes,1.8696488871885168e-06
surp_ism_pmi,1.696908197244448e-06
surp_dgorders,4.83305367484332e-07
surp_newhomesales,1.4788754086160258e-06
surp_consconfid,2.6650589524803637e-06
surp_avghourlyearnmings,8.626743220292043e-07
surp_cpi,9.93478615390103e-07
surp_tradebal,1.7162407553780565e-06
surp_indprod,1.7942385792959232e-06
surp_fedratedec,0.0
VIXCLS,0.0002761274471959076
