,mean_abs_shap
vix_main_effect,7.5829988350696e-05
surp_nfp,2.553753804924149e-07
surp_unemp,1.9663802680291463e-06
surp_corecpi,1.0524997987656586e-07
surp_gdp,6.8617525122811185e-09
surp_retsailes,2.124548932028767e-07
surp_ism_pmi,1.6990480428630605e-07
surp_dgorders,2.0076801261971676e-07
surp_newhomesales,8.395052518668928e-07
surp_consconfid,4.927937290286597e-07
surp_avghourlyearnmings,1.5917780110100192e-07
surp_cpi,2.400757443909891e-07
surp_tradebal,3.2543340438549913e-07
surp_indprod,1.5548976637101038e-07
surp_fedratedec,0.0
VIXCLS,7.582998835069653e-05
