,mean_abs_shap
vix_main_effect,0.00015728983792320092
surp_nfp,9.878736050668408e-07
surp_unemp,3.095689349827593e-07
surp_corecpi,2.9172342822310876e-07
surp_gdp,7.118388274259292e-08
surp_retsailes,1.9714448016808778e-06
surp_ism_pmi,3.7563016197108796e-06
surp_dgorders,3.825218502115113e-07
surp_newhomesales,1.218872803931965e-06
surp_consconfid,6.794087238455152e-07
surp_avghourlyearnmings,1.6874538918603303e-07
surp_cpi,5.958645942854286e-08
surp_tradebal,5.275506692620279e-07
surp_indprod,3.586022395386696e-07
surp_fedratedec,0.0
VIXCLS,0.00015728983792320255
