,mean_abs_shap
vix_main_effect,5.768711827361437e-05
surp_nfp,5.251419074024907e-07
surp_unemp,3.1985769032050514e-07
surp_corecpi,1.1285043083966035e-07
surp_gdp,2.880043829480999e-08
surp_retsailes,4.662776124735781e-07
surp_ism_pmi,4.039219440309186e-07
surp_dgorders,1.3848073694963522e-07
surp_newhomesales,2.596375576717112e-07
surp_consconfid,1.3504342179347415e-07
surp_avghourlyearnmings,2.1842997028898512e-07
surp_cpi,3.0287010198920223e-08
surp_tradebal,2.612912513712374e-07
surp_indprod,1.1442760575076541e-07
surp_fedratedec,0.0
VIXCLS,5.768711827361443e-05
