,mean_abs_shap
vix_main_effect,0.0003254450508123116
surp_nfp,6.086971436474556e-07
surp_unemp,4.3143042803755445e-08
surp_corecpi,7.415300067898054e-07
surp_gdp,0.0
surp_retsailes,5.511731097451186e-07
surp_ism_pmi,1.2420331313556087e-06
surp_dgorders,8.64475489055952e-07
surp_newhomesales,7.698152752190406e-07
surp_consconfid,6.569637970660324e-07
surp_avghourlyearnmings,1.7946238744048114e-07
surp_cpi,7.601430969196335e-07
surp_tradebal,9.997890096771113e-07
surp_indprod,3.1396046196724113e-07
surp_fedratedec,0.0
VIXCLS,0.0003254450508123163
