,mean_abs_shap
vix_main_effect,0.0005394351659374185
surp_nfp,3.5292773867218645e-06
surp_unemp,5.991989350786271e-07
surp_corecpi,7.010055757111407e-07
surp_gdp,1.7886096334776934e-07
surp_retsailes,4.265199054015889e-06
surp_ism_pmi,3.7159509318258517e-06
surp_dgorders,3.1640794987367974e-06
surp_newhomesales,2.420077271243403e-06
surp_consconfid,1.4138133159389113e-06
surp_avghourlyearnmings,6.233972305701915e-07
surp_cpi,8.193491051557492e-07
surp_tradebal,4.337050600829233e-06
surp_indprod,1.0771817228441996e-06
surp_fedratedec,0.0
VIXCLS,0.0005394351659374179
