,mean_abs_shap
vix_main_effect,0.0006147479197850577
surp_nfp,2.5201875841858364e-06
surp_unemp,9.540063844195595e-07
surp_corecpi,1.81287672094257e-06
surp_gdp,2.0294927112522085e-07
surp_retsailes,3.768030608185989e-06
surp_ism_pmi,5.164848422870269e-06
surp_dgorders,2.2987831172590697e-06
surp_newhomesales,3.425577426565141e-06
surp_consconfid,4.347150516145811e-06
surp_avghourlyearnmings,1.509735201984277e-06
surp_cpi,1.0855813726074723e-06
surp_tradebal,2.6032029479826913e-06
surp_indprod,3.6326402252213427e-06
surp_fedratedec,0.0
VIXCLS,0.000614747919785057
