,mean_abs_shap
vix_main_effect,9.52179686028278e-05
surp_nfp,4.233942112783758e-07
surp_unemp,1.3480994899553412e-06
surp_corecpi,0.0
surp_gdp,0.0
surp_retsailes,1.647428672908315e-06
surp_ism_pmi,7.7679363041047e-07
surp_dgorders,7.991765035972939e-07
surp_newhomesales,2.0583031345485178e-07
surp_consconfid,6.242256594754919e-07
surp_avghourlyearnmings,3.2708783578560583e-07
surp_cpi,1.327754744197803e-07
surp_tradebal,5.057213812872921e-07
surp_indprod,2.024716770882373e-07
surp_fedratedec,0.0
VIXCLS,9.521796860282713e-05
