,mean_abs_shap
vix_main_effect,0.0020548889595352828
surp_nfp,8.274373745477476e-06
surp_unemp,3.939304490842395e-06
surp_corecpi,3.4294539539501318e-06
surp_gdp,9.04530950457712e-08
surp_retsailes,1.3164581973421802e-05
surp_ism_pmi,4.7913535916927504e-06
surp_dgorders,1.6646427231503948e-05
surp_newhomesales,1.685398670756551e-05
surp_consconfid,7.261193772728266e-06
surp_avghourlyearnmings,8.111308993774502e-06
surp_cpi,5.492003242625429e-06
surp_tradebal,1.2959893719175433e-05
surp_indprod,1.2758762646025256e-05
surp_fedratedec,0.0
VIXCLS,0.0020548889595352806
