,mean_abs_shap
vix_main_effect,0.0003377196997988504
surp_nfp,2.965234841190876e-06
surp_unemp,5.219745610953675e-07
surp_corecpi,3.8172933633641755e-07
surp_gdp,3.5016415624591465e-08
surp_retsailes,1.3581904432672373e-06
surp_ism_pmi,1.9508205877411893e-06
surp_dgorders,1.273291832265191e-06
surp_newhomesales,7.309661813230484e-07
surp_consconfid,8.11868310932509e-07
surp_avghourlyearnmings,9.235938704197926e-07
surp_cpi,1.7004312422939143e-07
surp_tradebal,6.653549664677849e-06
surp_indprod,3.3796001621439187e-07
surp_fedratedec,0.0
VIXCLS,0.000337719699798853
