,mean_abs_shap
vix_main_effect,0.0007027845448987783
surp_nfp,2.1149545026639463e-06
surp_unemp,3.83735984207554e-07
surp_corecpi,0.0
surp_gdp,0.0
surp_retsailes,1.2587528050429422e-06
surp_ism_pmi,1.2303212572329754e-06
surp_dgorders,1.7109083741775704e-06
surp_newhomesales,1.7647736405894048e-06
surp_consconfid,2.655072240697829e-06
surp_avghourlyearnmings,8.714642740582025e-07
surp_cpi,7.356311812881726e-07
surp_tradebal,1.130161013858588e-06
surp_indprod,1.4206414487546325e-06
surp_fedratedec,0.0
VIXCLS,0.0007027845448987772
