,mean_abs_shap
vix_main_effect,0.0004500995252937178
surp_nfp,1.7257235959811189e-06
surp_unemp,4.69274354021944e-07
surp_corecpi,3.910883571626476e-07
surp_gdp,1.669210143246785e-08
surp_retsailes,1.0239763817205119e-06
surp_ism_pmi,6.060755270989871e-07
surp_dgorders,1.6086924673311554e-06
surp_newhomesales,1.082754274823146e-06
surp_consconfid,1.0902520921711411e-06
surp_avghourlyearnmings,5.145147031563279e-07
surp_cpi,5.333273736233863e-07
surp_tradebal,6.493308605200558e-06
surp_indprod,1.2276646619505136e-06
surp_fedratedec,0.0
VIXCLS,0.0004500995252937125
