,mean_abs_shap
vix_main_effect,0.0005624315444040881
surp_nfp,3.283603915271062e-06
surp_unemp,6.363025022812267e-07
surp_corecpi,8.039176388911135e-07
surp_gdp,3.5295840966442195e-08
surp_retsailes,7.579479756635152e-06
surp_ism_pmi,4.25282826875448e-06
surp_dgorders,1.3400410213949676e-06
surp_newhomesales,2.6088995463898193e-06
surp_consconfid,2.7568924484285063e-06
surp_avghourlyearnmings,1.7132554850442553e-06
surp_cpi,1.3061236414626185e-06
surp_tradebal,9.768649125884645e-06
surp_indprod,1.274499130801823e-06
surp_fedratedec,0.0
VIXCLS,0.0005624315444040881
