,mean_abs_shap
vix_main_effect,0.0013254144590669394
surp_nfp,1.0073604909428446e-05
surp_unemp,1.6497437225668707e-06
surp_corecpi,1.0709244767445219e-06
surp_gdp,0.0
surp_retsailes,1.5547794587987143e-06
surp_ism_pmi,3.0006355815343612e-06
surp_dgorders,5.554786015887332e-06
surp_newhomesales,4.113932763287718e-06
surp_consconfid,9.685793505353093e-06
surp_avghourlyearnmings,3.7526865595989465e-06
surp_cpi,8.631835347803177e-07
surp_tradebal,7.385915240864384e-06
surp_indprod,1.2859630009577326e-06
surp_fedratedec,0.0
VIXCLS,0.001325414459066938
