,mean_abs_shap
vix_main_effect,0.0006958880808095997
surp_nfp,5.221047896713998e-06
surp_unemp,6.724356285878704e-07
surp_corecpi,2.725943076352587e-07
surp_gdp,1.4921425857132553e-07
surp_retsailes,3.0478805937441154e-06
surp_ism_pmi,4.600429003041424e-06
surp_dgorders,3.595604558320902e-06
surp_newhomesales,2.1272841994872556e-06
surp_consconfid,1.266020334169266e-06
surp_avghourlyearnmings,6.522642758464835e-07
surp_cpi,1.0185983462762124e-06
surp_tradebal,2.963446546630454e-06
surp_indprod,8.779759232192486e-07
surp_fedratedec,0.0
VIXCLS,0.0006958880808095985
