,mean_abs_shap
vix_main_effect,0.0005778188733749825
surp_nfp,2.4545566424024747e-06
surp_unemp,1.4204210860945126e-07
surp_corecpi,1.722556284616954e-06
surp_gdp,0.0
surp_retsailes,2.269770818076534e-06
surp_ism_pmi,2.610274485844427e-06
surp_dgorders,1.3348749053223043e-06
surp_newhomesales,1.2231159893972551e-06
surp_consconfid,1.7245736949986386e-06
surp_avghourlyearnmings,3.410760880286832e-06
surp_cpi,7.117288834758456e-07
surp_tradebal,3.1951503811704127e-06
surp_indprod,4.125486315763335e-06
surp_fedratedec,0.0
VIXCLS,0.0005778188733749788
