,mean_abs_shap
vix_main_effect,0.00028522159113626683
surp_nfp,3.088452920612672e-06
surp_unemp,7.547337948427131e-07
surp_corecpi,8.450989668397903e-07
surp_gdp,2.920110489543891e-07
surp_retsailes,2.661619133155929e-06
surp_ism_pmi,4.474447267557815e-06
surp_dgorders,1.5530452527267833e-06
surp_newhomesales,1.0840539894387874e-06
surp_consconfid,2.1322181653881497e-06
surp_avghourlyearnmings,6.58322447702719e-07
surp_cpi,5.301444861651412e-07
surp_tradebal,6.828129749518719e-06
surp_indprod,5.959505517057724e-07
surp_fedratedec,0.0
VIXCLS,0.0002852215911362666
