,mean_abs_shap
vix_main_effect,0.0002977805303945493
surp_nfp,3.1769427780555103e-06
surp_unemp,9.1220115855749e-08
surp_corecpi,1.4478952842882336e-06
surp_gdp,0.0
surp_retsailes,1.1018058301979378e-06
surp_ism_pmi,2.705434674808464e-06
surp_dgorders,2.638495544308802e-06
surp_newhomesales,3.986402771076998e-06
surp_consconfid,1.945086410628413e-06
surp_avghourlyearnmings,1.8691687962845814e-06
surp_cpi,3.195391136630916e-07
surp_tradebal,2.001207412870976e-06
surp_indprod,1.4593217723632346e-06
surp_fedratedec,0.0
VIXCLS,0.00029778053039454847
