,mean_abs_shap
vix_main_effect,0.0004547758213479277
surp_nfp,4.1963612186548334e-06
surp_unemp,1.5704606237449327e-06
surp_corecpi,2.0229461844717884e-06
surp_gdp,1.2893017143642239e-07
surp_retsailes,2.59991076908497e-06
surp_ism_pmi,2.1015767907588282e-06
surp_dgorders,2.9321745920076087e-06
surp_newhomesales,4.42145401751814e-06
surp_consconfid,3.324309005859242e-06
surp_avghourlyearnmings,1.3268067722761515e-06
surp_cpi,1.0715614561995182e-06
surp_tradebal,3.568777822096315e-06
surp_indprod,1.490378101440257e-06
surp_fedratedec,0.0
VIXCLS,0.0004547758213479276
