,mean_abs_shap
vix_main_effect,0.0007811004765467885
surp_nfp,3.263072741916732e-06
surp_unemp,1.023884764630211e-06
surp_corecpi,1.9701680413027302e-06
surp_gdp,1.78867774596825e-07
surp_retsailes,4.147840856920766e-06
surp_ism_pmi,3.1588978811801345e-06
surp_dgorders,4.4297661052211845e-06
surp_newhomesales,4.389989219729752e-06
surp_consconfid,2.13639746046038e-06
surp_avghourlyearnmings,1.690309025479793e-06
surp_cpi,2.440900908830315e-06
surp_tradebal,2.0337288223505067e-06
surp_indprod,3.577038236771573e-06
surp_fedratedec,0.0
VIXCLS,0.0007811004765467879
