,mean_abs_shap
vix_main_effect,0.00016330436923013092
surp_nfp,2.8235433844136494e-06
surp_unemp,1.8925923251756295e-07
surp_corecpi,2.576891479089207e-07
surp_gdp,5.954926733943411e-08
surp_retsailes,1.5734054114289573e-06
surp_ism_pmi,1.4262889773536675e-06
surp_dgorders,7.588915635635063e-07
surp_newhomesales,5.417987034610902e-07
surp_consconfid,1.1293595630720608e-06
surp_avghourlyearnmings,1.4577087216652785e-06
surp_cpi,2.6161644682216703e-07
surp_tradebal,1.775070917421086e-06
surp_indprod,8.652360467384992e-07
surp_fedratedec,0.0
VIXCLS,0.0001633043692301307
