,mean_abs_shap
vix_main_effect,0.00046334143890001066
surp_nfp,1.9697849684642086e-06
surp_unemp,9.732957141694159e-07
surp_corecpi,1.1943144914274045e-06
surp_gdp,6.482982405080263e-08
surp_retsailes,1.716277040047503e-06
surp_ism_pmi,1.4488594530672125e-06
surp_dgorders,3.928098482266952e-06
surp_newhomesales,8.144410470291912e-06
surp_consconfid,2.161338736287771e-06
surp_avghourlyearnmings,1.233133473286655e-06
surp_cpi,5.180145028396075e-07
surp_tradebal,3.28748383113278e-06
surp_indprod,3.2305293424881664e-06
surp_fedratedec,0.0
VIXCLS,0.00046334143890001055
