,mean_abs_shap
vix_main_effect,0.0001506008744027546
surp_nfp,6.259022358940462e-07
surp_unemp,2.0573875544308037e-07
surp_corecpi,1.4427132923385374e-07
surp_gdp,5.3358051319322964e-09
surp_retsailes,1.3579230099788695e-06
surp_ism_pmi,5.695680855701029e-07
surp_dgorders,5.500949723937144e-07
surp_newhomesales,1.1248833344801067e-06
surp_consconfid,1.1677158804737905e-06
surp_avghourlyearnmings,2.751777067652887e-07
surp_cpi,2.0829878057185616e-07
surp_tradebal,8.19784280312856e-07
surp_indprod,5.685337703484952e-07
surp_fedratedec,0.0
VIXCLS,0.00015060087440275455
