Asset,Horizon,Model,Feature,Rank
CADUSD,cum10,LGB,VIXCLS,10
CADUSD,cum10,LGB,surp_nfp,9
CADUSD,cum10,LGB,surp_unemp,8
CADUSD,cum10,LGB,surp_corecpi,7
CADUSD,cum10,LGB,surp_gdp,6
CADUSD,cum10,LGB,surp_retsales,5
CADUSD,cum10,LGB,surp_ism_pmi,4
CADUSD,cum10,LGB,surp_dgorders,3
CADUSD,cum10,LGB,surp_newhomesales,2
CADUSD,cum10,LGB,surp_consconfid,1
CADUSD,cum10,LGB,surp_avghourlyearnings,0
CADUSD,cum10,LGB,surp_cpi,0
CADUSD,cum10,LGB,surp_tradebal,0
CADUSD,cum10,LGB,surp_indprod,0
CADUSD,cum10,LGB,surp_fedratedec,0
CADUSD,cum10,RF,VIXCLS,10
CADUSD,cum10,RF,surp_ism_pmi,9
CADUSD,cum10,RF,surp_nfp,8
CADUSD,cum10,RF,surp_dgorders,7
CADUSD,cum10,RF,surp_newhomesales,6
CADUSD,cum10,RF,surp_consconfid,5
CADUSD,cum10,RF,surp_tradebal,4
CADUSD,cum10,RF,surp_corecpi,3
CADUSD,cum10,RF,surp_indprod,2
CADUSD,cum10,RF,surp_cpi,1
CADUSD,cum10,RF,surp_unemp,0
CADUSD,cum10,RF,surp_gdp,0
CADUSD,cum10,RF,surp_retsales,0
CADUSD,cum10,RF,surp_avghourlyearnings,0
CADUSD,cum10,RF,surp_fedratedec,0
CADUSD,cum15,LGB,VIXCLS,10
CADUSD,cum15,LGB,surp_tradebal,9
CADUSD,cum15,LGB,surp_ism_pmi,8
CADUSD,cum15,LGB,surp_nfp,7
CADUSD,cum15,LGB,surp_consconfid,6
CADUSD,cum15,LGB,surp_newhomesales,5
CADUSD,cum15,LGB,surp_dgorders,4
CADUSD,cum15,LGB,surp_retsales,3
CADUSD,cum15,LGB,surp_indprod,2
CADUSD,cum15,LGB,surp_unemp,1
CADUSD,cum15,LGB,surp_corecpi,0
CADUSD,cum15,LGB,surp_gdp,0
CADUSD,cum15,LGB,surp_avghourlyearnings,0
CADUSD,cum15,LGB,surp_cpi,0
CADUSD,cum15,LGB,surp_fedratedec,0
CADUSD,cum15,RF,VIXCLS,10
CADUSD,cum15,RF,surp_nfp,9
CADUSD,cum15,RF,surp_consconfid,8
CADUSD,cum15,RF,surp_ism_pmi,7
