Method,ret_CADUSD,ret_EURUSD,ret_GBPUSD,ret_GC,ret_JPYUSD,ret_XLE,ret_XLF,ret_XLI,ret_XLK,ret_XLV,ret_ZN,ret_ZT,ret_GSPC,ret_RUT,ret_CADUSD_cum3,ret_EURUSD_cum3,ret_GBPUSD_cum3,ret_GC_cum3,ret_JPYUSD_cum3,ret_XLE_cum3,ret_XLF_cum3,ret_XLI_cum3,ret_XLK_cum3,ret_XLV_cum3,ret_ZN_cum3,ret_ZT_cum3,ret_GSPC_cum3,ret_RUT_cum3,ret_CADUSD_cum5,ret_EURUSD_cum5,ret_GBPUSD_cum5,ret_GC_cum5,ret_JPYUSD_cum5,ret_XLE_cum5,ret_XLF_cum5,ret_XLI_cum5,ret_XLK_cum5,ret_XLV_cum5,ret_ZN_cum5,ret_ZT_cum5,ret_GSPC_cum5,ret_RUT_cum5,ret_CADUSD_cum10,ret_EURUSD_cum10,ret_GBPUSD_cum10,ret_GC_cum10,ret_JPYUSD_cum10,ret_XLE_cum10,ret_XLF_cum10,ret_XLI_cum10,ret_XLK_cum10,ret_XLV_cum10,ret_ZN_cum10,ret_ZT_cum10,ret_GSPC_cum10,ret_RUT_cum10,ret_CADUSD_cum15,ret_EURUSD_cum15,ret_GBPUSD_cum15,ret_GC_cum15,ret_JPYUSD_cum15,ret_XLE_cum15,ret_XLF_cum15,ret_XLI_cum15,ret_XLK_cum15,ret_XLV_cum15,ret_ZN_cum15,ret_ZT_cum15,ret_GSPC_cum15,ret_RUT_cum15
AR(1),1.8267959910621374e-05,2.773111796593759e-05,3.3994729622998934e-05,0.00010449894791263656,4.812614992518253e-05,0.00027950984286376527,0.0001448122668638016,0.00011772250300224059,0.00022753986995779186,8.07003217022858e-05,1.6300759049912185e-05,1.6275271598646072e-06,0.00011129300904446915,0.00020130803392096757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fwd (Cp),1.991527257376484e-05,2.8490912301322005e-05,3.568940065861351e-05,0.00010493273241407686,4.717927695283867e-05,0.0002926566720204092,0.00015546007041729144,0.00012417821775379085,0.0002337400507520884,8.15664410493992e-05,1.6530590984368182e-05,1.6205816036822853e-06,0.00011720512084870439,0.00020810543430030312,5.129469471325108e-05,6.75021828587016e-05,9.178113644103416e-05,0.00026748950466584247,0.0001101547459450851,0.0010219751670772458,0.0004664171648845325,0.00037082414900397107,0.0007108461452189264,0.0002294225503646968,4.4861082506633974e-05,4.796607795341353e-06,0.0003466118633936177,0.0006071764543588529,7.675574811176404e-05,0.00011123506289096658,0.00012790809486353463,0.0004747331986929151,0.00018210958459589306,0.0015539345074038833,0.0007578881235513981,0.0005561198146405197,0.0011175700381837693,0.0003780005505782389,7.598447001573163e-05,7.668841797498978e-06,0.0005324393224937617,0.0009670477774677608,0.00015203871511509812,0.00022712698719339798,0.0002616558834615034,0.0009368093814541048,0.0003982612483820887,0.002730434223918193,0.0014224669677140999,0.0010570769101604222,0.0019694555220367447,0.0007324636521513873,0.00014177175447978467,1.4476656232052383e-05,0.0009397363797960368,0.0017209066907221192,0.00020702390113371463,0.000320962760956187,0.00036426800623122523,0.0013310389839719255,0.0006340116422699604,0.0039062174393262234,0.0019922438099640523,0.0015737138982730838,0.0029501379820396426,0.0010497324799444855,0.00022789201351027598,2.2656302737372597e-05,0.0013477506382070876,0.00235039033241253
Fwd (CV),1.8416739131858774e-05,2.788436134337481e-05,3.436424111501945e-05,0.00010492565835607731,4.7714517453035116e-05,0.00027952930403984065,0.0001445151618518255,0.0001178046490857831,0.00022620092689758705,8.090465108901102e-05,1.6199009761045222e-05,1.6025642281058244e-06,0.00011096818577406059,0.00020137065481120206,4.952745225891342e-05,6.746600504401404e-05,9.01534512898258e-05,0.00026544845497758945,0.00010818155005630534,0.0010024129326368623,0.0004432202749246447,0.00036998980229214546,0.0007057719595773661,0.00022831690536134565,4.4890982484174094e-05,4.75248136780352e-06,0.0003434089730287143,0.0006032892346458176,7.139797586018623e-05,0.00010908688435385485,0.00012526163224719537,0.000472633998400905,0.00018151563659916204,0.0015492729737780634,0.0007088314867319121,0.0005598931714264809,0.0010980259500444245,0.0003751692997489816,7.410496819336475e-05,7.552424042828756e-06,0.0005224997418069702,0.0009688614688022493,0.00014367010478811933,0.00022607393142806822,0.0002554536827831902,0.0009379890804670381,0.0003903864019897315,0.0027075575396055076,0.0013820691450471174,0.0010359869581826784,0.0019656075517749455,0.0007297473932736886,0.00013764131185785403,1.4106774908345286e-05,0.000921256050278553,0.0017151528344331074,0.00019636697808510763,0.00032038080117619797,0.0003600458311747636,0.0013266811213529836,0.0006261921000916523,0.00383462126059522,0.0018853941723520108,0.0015529594535191721,0.0029404583399080335,0.0010519927369628862,0.00022053478715081712,2.2001524451890016e-05,0.0013365466793628924,0.0023421679164990702
Bwd (Cp),2.0086941484487394e-05,2.8490912301322005e-05,3.570624689360411e-05,0.00010493273241407686,4.711087324691743e-05,0.0002926566720204092,0.00015546007041729144,0.00012417821775379085,0.0002337400507520884,8.15664410493992e-05,1.6530590984368182e-05,1.6186985870523368e-06,0.00011720512084870439,0.0002081229766773124,5.1175171022338425e-05,6.75104151177539e-05,9.16354245616572e-05,0.00026748950466584247,0.0001101547459450851,0.0010219751670772458,0.0004664171648845325,0.0003802871882996491,0.0007239569316713691,0.0002294225503646968,4.4898533458883136e-05,4.796607795341353e-06,0.00035366043527001616,0.0006071764543588529,7.675574811176404e-05,0.00011123506289096658,0.0001276981546984148,0.0004747331986929151,0.00018210958459589306,0.0015539345074038833,0.0007599076095223127,0.000560013030329832,0.0011139176022407927,0.0003780005505782389,7.598447001573163e-05,7.668841797498978e-06,0.0005324393224937617,0.0009670477774677608,0.00015203871511509812,0.00022734107062684627,0.0002616558834615034,0.0009368093814541048,0.0003982612483820887,0.002730434223918193,0.0014311998124565,0.0010570769101604222,0.001984501123304805,0.0007324636521513873,0.00014187391995259987,1.4476656232052383e-05,0.0009397363797960368,0.0017377599902646914,0.00020702390113371463,0.000320962760956187,0.00036426800623122523,0.0013310389839719255,0.0006340116422699604,0.0039062174393262234,0.001993206704731132,0.0015737138982730838,0.0029462044803021284,0.0010497324799444855,0.00022819072417569206,2.2668589795004767e-05,0.0013477506382070876,0.00235039033241253
Bwd (CV),1.8416739131858774e-05,2.788436134337481e-05,3.436424111501945e-05,0.00010492565835607731,4.7714517453035116e-05,0.00027952930403984065,0.0001445151618518255,0.0001178046490857831,0.00022762384216529425,8.090465108901102e-05,1.6431124884973852e-05,1.6025642281058244e-06,0.00011096818577406059,0.00020137065481120206,4.952745225891342e-05,6.746600504401404e-05,9.01534512898258e-05,0.00026544845497758945,0.00010818155005630534,0.0010007957827071238,0.00044697952290319906,0.00036998980229214546,0.0007057719595773661,0.00022871762735799192,4.4745533936494674e-05,4.75248136780352e-06,0.00034242577893757323,0.0006015930734884551,7.139797586018623e-05,0.00010908688435385485,0.00012526163224719537,0.000472633998400905,0.00018151563659916204,0.0015492729737780634,0.0007112869145054172,0.0005598931714264809,0.0010985768499479178,0.00037821563538565896,7.410496819336475e-05,7.552424042828756e-06,0.0005224997418069702,0.0009630286745821293,0.0001434359886947708,0.00022607393142806822,0.0002554536827831902,0.0009379890804670381,0.0003903864019897315,0.0027017413301025387,0.0013820691450471174,0.0010359869581826784,0.0019656075517749455,0.0007297473932736886,0.00013764131185785403,1.4106774908345286e-05,0.000921256050278553,0.001723576116293481,0.0001971105027333762,0.00032038080117619797,0.0003593854450744504,0.0013266811213529836,0.0006261921000916523,0.00383462126059522,0.0018853941723520108,0.0015532076471370252,0.0029404583399080335,0.0010519927369628862,0.00022053478715081712,2.2001524451890016e-05,0.0013351217564477771,0.002330963033028417
Ridge,1.841673915457623e-05,2.788436120378736e-05,3.436424117083321e-05,0.0001049256581839798,4.77145172521466e-05,0.0002795293048001472,0.0001445151634151368,0.0001178046495528243,0.00022620092643774113,8.090465071219659e-05,1.6546178623992778e-05,1.615921345131951e-06,0.0001109681858319084,0.00020137065493914697,4.952745262322433e-05,6.746600495390059e-05,9.287177032536342e-05,0.00026544845404991783,0.00010841784686680569,0.00101872871439857,0.0004432202737048542,0.00037394460903106687,0.0007069765452175261,0.00022792595136095057,4.499511657743627e-05,4.808096558903273e-06,0.00034302841521869265,0.0006048833121523691,7.139797595430944e-05,0.00010908688439085075,0.00012957330523921708,0.0004726340024737831,0.00018189392772425194,0.0015555162248624772,0.0007272547001954174,0.0005633607542806735,0.0010982620503483585,0.0003773625626710945,7.529392394792442e-05,7.640987670268792e-06,0.0005225138084826454,0.0009688614721182204,0.0001436701052011792,0.00022607393174814148,0.0002630615213208774,0.0009379890837369736,0.00039621434360296085,0.00269621905063949,0.001395519046458098,0.001048926388513329,0.0019656075509736255,0.0007297473896867035,0.00014078419367976363,1.44221889653137e-05,0.0009212560529284887,0.001723576127475139,0.00019636697883394105,0.0003203808009143135,0.00036124436832303775,0.0013266811258993581,0.0006328061498142556,0.003834621289387802,0.0019062553994229022,0.0015529595160344027,0.002940458342460703,0.0010519927292793295,0.0002265716451571016,2.256012857289946e-05,0.0013365466931003504,0.0023421679249657846
Lasso,1.8416739131858774e-05,2.788436134337481e-05,3.436424111501945e-05,0.00010492579714726764,4.7466543051582146e-05,0.00027953537616361856,0.0001445151618518255,0.00011780577423451961,0.00022619012494881586,8.089042701319635e-05,1.6369325441310092e-05,1.6041532477489554e-06,0.00011096818577406059,0.00020137065481120206,4.954984539090784e-05,6.746600504401404e-05,9.167919975382051e-05,0.00026544845497758945,0.00010834807303616144,0.0010054612195144923,0.00044401944260582583,0.0003693047786816148,0.0007067560887860337,0.00022869707186034497,4.478640994024912e-05,4.766798644976422e-06,0.00034221186577969797,0.0006021605229785425,7.139797586018623e-05,0.00010908688435385485,0.00012466760982568113,0.000472633998400905,0.00018154163372415327,0.0015528220709638218,0.0007092782237401666,0.0005573034173514042,0.0010973934556251096,0.00037596279332664865,7.484276256296577e-05,7.558298494273372e-06,0.000521342343413394,0.0009663534948232734,0.00014367010478811933,0.00022607393142806822,0.0002586234655269351,0.0009379890804670381,0.00039292223230203056,0.0027080156209642312,0.0013820928675156029,0.0010363306304011113,0.001965597882009492,0.0007297291224486164,0.0001389356793600014,1.4145529653423155e-05,0.0009212511332575629,0.0017188629899160413,0.00019636697808510763,0.00032038080117619797,0.0003592751793152863,0.0013266811213529836,0.0006294635949253406,0.003835724904849482,0.001952493073901829,0.0015540521416309624,0.0029405529095452906,0.001052010546558484,0.0002226006233360205,2.201093878023331e-05,0.001336715697121748,0.002342178753961498
PCR,1.8424884054047763e-05,2.953945882124087e-05,3.436882228570762e-05,0.00010491959117489402,4.712447943100657e-05,0.0002795554924229713,0.00014459228059031165,0.00011782426602032292,0.0002261628795175666,8.232031291571957e-05,1.6199335898088236e-05,1.6112256122341365e-06,0.00011096790272026822,0.00020139493112100078,4.95617084393324e-05,6.746040008497029e-05,9.0992851342681e-05,0.00026542856283416643,0.0001085462183656911,0.0010212819990120885,0.0004430610228328445,0.0003701231350845825,0.0007047902859736726,0.0002286350096858425,4.4784448421286563e-05,4.803751455760373e-06,0.00034516234802130604,0.0006048612076788816,7.140266884220726e-05,0.00010908666394585808,0.00012741085892364223,0.00047324016853596723,0.00018153139591183272,0.0015666041952016845,0.0007306281273230533,0.0005617794373011196,0.001096478963278938,0.00037846631218531356,7.528098644793391e-05,7.656388505011078e-06,0.0005230383689638926,0.0009749219967336502,0.00014366465599199613,0.00022608766620767147,0.0002615439040842906,0.000951014553035812,0.00039446635165922756,0.002700555555407518,0.0013822672417695596,0.0010364567834789448,0.0019592926411349447,0.0007296597710291351,0.00014090242616255318,1.4461059931196547e-05,0.0009213799986629618,0.0017195783026484539,0.00019637104003143786,0.00032034913168356514,0.00036031237668745136,0.0013277898629857775,0.0006319065210211385,0.0038352240526329717,0.001877515419573297,0.001554337720538339,0.0029407783646237524,0.0010518398215130604,0.00022670248366286793,2.2615310505008928e-05,0.0013369968495866888,0.0023424604804722555
PLS,1.8462074172615096e-05,2.816014849785193e-05,3.442552639579293e-05,0.00010490943914055134,4.729691274338993e-05,0.00027959030784627644,0.00014463589495459578,0.00011786012578729581,0.00022612930084171985,8.119543882747955e-05,1.620170419498255e-05,1.6027354888139552e-06,0.000112031061777864,0.00020141242324748238,4.956836790890526e-05,6.744241806028136e-05,9.02219353072593e-05,0.0002652490305594558,0.00010821619439727834,0.0009999069409772554,0.00044317754825672724,0.0003697653587806958,0.0007055397019551569,0.00022841934433054118,4.386862995591356e-05,4.756030082006232e-06,0.00034230400860627605,0.0006014703548208063,7.151954738589105e-05,0.00010915293638572397,0.00012556881101141555,0.00047306867785112765,0.00018155902187374658,0.0015609867861744568,0.0007155130243403057,0.0005609683865997782,0.0010973700812836485,0.0003780502674005095,7.422352211942086e-05,7.6131397332848335e-06,0.0005226151448697957,0.0009718358086061741,0.0001437196657164181,0.00022609535814401515,0.0002577774307447032,0.000946981576087677,0.000390593281012201,0.0026956327252736887,0.0013835422244473118,0.0010376779772362575,0.0019655579913091547,0.0007294970306960905,0.0001380162144918434,1.4266279480737309e-05,0.0009213949941246404,0.001723942304883082,0.00019641328261966255,0.0003203683645195245,0.00035941934927838555,0.0013271971481291734,0.0006265621838247742,0.0038354039287050814,0.001878937183522405,0.0015660486466620533,0.0029405720316538903,0.0010517327570855818,0.0002218204370421251,2.2269036806211405e-05,0.001337321683775839,0.0023424114659367653
RF,1.8409377480504638e-05,2.773607230418315e-05,3.4172658858058915e-05,0.00010601858210774483,4.775107039511567e-05,0.00027966846557089277,0.00014393838972860903,0.00011754316551254179,0.00022578627452026889,8.052821429777134e-05,1.631600358531433e-05,1.613280444372403e-06,0.00011025893127131405,0.0002003688452294129,4.9551001813343895e-05,6.731577011202274e-05,9.05852364588076e-05,0.00026786757422647803,0.00010864336362405755,0.001001216173622283,0.00044501196743758364,0.0003712121723750605,0.0007058414715991621,0.00022792334469260998,4.424279582462696e-05,4.784170171166257e-06,0.00034334920398749715,0.0006026609138024016,7.155657458329889e-05,0.00010930071371677437,0.00012548333351808554,0.00047657100436089686,0.00018299245167263556,0.0015588697644705245,0.0007117955770431522,0.0005621056855082244,0.0011005560174066897,0.00037718016457652674,7.362953831414347e-05,7.5791723680252415e-06,0.0005244838911743962,0.0009713105915567073,0.00014452499137922385,0.00022621388468953255,0.00025552124353040047,0.0009454495709272796,0.0003965955210135711,0.002694822104498214,0.0013848625418151743,0.001030756655560261,0.0019724093409509945,0.0007274156375353134,0.00013722136088694962,1.4128735270104151e-05,0.0009214050385201152,0.0017253431595917882,0.00019714892107811313,0.00032136007321240486,0.00035480397197564835,0.0013507108836260445,0.0006361628975165664,0.003844796667123842,0.0018886149743418193,0.0015541459965377929,0.002939063492930081,0.001052000024441247,0.00021912775659206442,2.2036247719387694e-05,0.0013411663567510803,0.0023482373921735055
