Method,Variable,Coef,HAC SE,t-stat,p-value,target
Fwd (Cp),surp_nfp,0.0011609469546230845,0.0007625640466554287,1.522425506047584,0.12820074891526065,ret_CADUSD
Fwd (Cp),surp_corecpi,0.0013026884060457439,0.0003981546982631055,3.27181472861815,0.0011030557119627866,ret_CADUSD
Fwd (Cp),surp_gdp,-0.0015950718937936075,0.0005850451241815408,-2.7264083194011084,0.006508374292342745,ret_CADUSD
Fwd (Cp),surp_corecpi_x_vix,0.0018775372761197584,0.0005565865038456167,3.373307227443195,0.0007695703596689802,ret_CADUSD
Fwd (Cp),surp_gdp_x_vix,-0.0016574681483429142,0.00045040434904428827,-3.679955914857153,0.00024501107677685994,ret_CADUSD
Fwd (Cp),surp_dgorders_x_vix,0.0010862940949751326,0.0006749884480482176,1.609352127604906,0.10783711941318164,ret_CADUSD
Fwd (Cp),surp_consconfid_x_vix,0.0006575019414410344,0.00017195800080643784,3.823619362620658,0.00013917207202517875,ret_CADUSD
Fwd (Cp),surp_avghourlyearnmings_x_vix,0.001895246743495362,0.0009910163364771848,1.9124273472952928,0.05609069746564609,ret_CADUSD
Fwd (Cp),surp_cpi_x_vix,-0.000560464341914025,0.0006041730797523193,-0.927655270810456,0.35379759079715734,ret_CADUSD
Fwd (Cp),surp_tradebal_x_vix,-0.0008559528387580202,0.0005885992971163795,-1.4542199471719361,0.1461813587069125,ret_CADUSD
Bwd (Cp),surp_nfp,0.0011638495599615069,0.000763380977993066,1.5245985864375027,0.1276578158124982,ret_CADUSD
Bwd (Cp),surp_corecpi,0.0013002903264950235,0.0003989414008834577,3.2593516832685805,0.0011522052148768116,ret_CADUSD
Bwd (Cp),surp_gdp,-0.0016012882388880317,0.0005858640389280443,-2.733207933052026,0.00637655095767066,ret_CADUSD
Bwd (Cp),surp_newhomesales,0.0015067158431765178,0.0007755476632413435,1.9427765881974444,0.05230792806687557,ret_CADUSD
Bwd (Cp),surp_corecpi_x_vix,0.0018794772478417704,0.0005571549188957729,3.373347670638379,0.000769484171397309,ret_CADUSD
Bwd (Cp),surp_gdp_x_vix,-0.0016478206855133814,0.0004555391703471448,-3.617297463701432,0.00031173540400300195,ret_CADUSD
Bwd (Cp),surp_newhomesales_x_vix,0.002157350752159114,0.0011961821608071947,1.8035302839688847,0.0715890890141798,ret_CADUSD
Bwd (Cp),surp_consconfid_x_vix,0.0006999647625499822,0.00015942139255238947,4.390657686169427,1.2433734938895643e-05,ret_CADUSD
Bwd (Cp),surp_avghourlyearnmings_x_vix,0.0018935672023169922,0.00099200053957843,1.908836867288097,0.05655323414556935,ret_CADUSD
Bwd (Cp),surp_cpi_x_vix,-0.0005610253944397512,0.0006037655394929904,-0.9292106914728356,0.35299165738160143,ret_CADUSD
Bwd (Cp),surp_tradebal_x_vix,-0.0008567212777557778,0.0005895818401955547,-1.4530998401708188,0.14649228126289995,ret_CADUSD
Ridge,surp_nfp,3.26383894389999e-12,,,,ret_CADUSD
Ridge,surp_unemp,8.854013707044487e-13,,,,ret_CADUSD
Ridge,surp_corecpi,1.2759872396096172e-11,,,,ret_CADUSD
Ridge,surp_gdp,-5.654932970857241e-12,,,,ret_CADUSD
Ridge,surp_retsailes,-3.135153966925958e-13,,,,ret_CADUSD
Ridge,surp_ism_pmi,5.011770384881148e-12,,,,ret_CADUSD
Ridge,surp_dgorders,4.214873925425804e-13,,,,ret_CADUSD
Ridge,surp_newhomesales,4.908092663531755e-12,,,,ret_CADUSD
Ridge,surp_consconfid,7.2720590619607876e-12,,,,ret_CADUSD
Ridge,surp_avghourlyearnmings,-1.5908166713727468e-12,,,,ret_CADUSD
Ridge,surp_cpi,-2.2216645553039694e-13,,,,ret_CADUSD
Ridge,surp_tradebal,-5.813064703808933e-12,,,,ret_CADUSD
Ridge,surp_indprod,-2.8930634264230213e-13,,,,ret_CADUSD
Ridge,surp_fedratedec,-3.903461134885812e-14,,,,ret_CADUSD
Ridge,VIXCLS,1.8309318409080463e-12,,,,ret_CADUSD
Ridge,surp_nfp_x_vix,-1.5023922219433537e-12,,,,ret_CADUSD
Ridge,surp_unemp_x_vix,-6.129370286524145e-12,,,,ret_CADUSD
Ridge,surp_corecpi_x_vix,3.145083922048946e-11,,,,ret_CADUSD
Ridge,surp_gdp_x_vix,-6.7898717094919284e-12,,,,ret_CADUSD
Ridge,surp_retsailes_x_vix,1.7269305939693534e-12,,,,ret_CADUSD
Ridge,surp_ism_pmi_x_vix,4.06929016690058e-12,,,,ret_CADUSD
Ridge,surp_dgorders_x_vix,9.136243349759222e-12,,,,ret_CADUSD
Ridge,surp_newhomesales_x_vix,4.984481362659715e-12,,,,ret_CADUSD
Ridge,surp_consconfid_x_vix,1.5961841589476003e-11,,,,ret_CADUSD
Ridge,surp_avghourlyearnmings_x_vix,7.272136448435049e-12,,,,ret_CADUSD
Ridge,surp_cpi_x_vix,1.1428915990326278e-11,,,,ret_CADUSD
Ridge,surp_tradebal_x_vix,-1.0924243399425348e-11,,,,ret_CADUSD
Ridge,surp_indprod_x_vix,5.593067924800258e-12,,,,ret_CADUSD
Ridge,surp_fedratedec_x_vix,3.389750896881992e-13,,,,ret_CADUSD
Fwd (Cp),surp_nfp,-0.0025487065566145717,0.001243046995969847,-2.0503702312767556,0.04057338068132304,ret_EURUSD
Fwd (Cp),surp_gdp,-0.001852865328387991,0.0006356986057167404,-2.9146915090350305,0.003635118070004617,ret_EURUSD
Fwd (Cp),surp_avghourlyearnmings,0.0016265021727849649,0.0011366486863000822,1.430962963657144,0.1527350098611815,ret_EURUSD
Fwd (Cp),surp_nfp_x_vix,-0.006789489208703604,0.002534729509616601,-2.678585301881214,0.007507577533040546,ret_EURUSD
Fwd (Cp),surp_unemp_x_vix,-0.001324565525863878,0.0012357878616200309,-1.0718389191227902,0.2840358980448257,ret_EURUSD
Fwd (Cp),surp_corecpi_x_vix,0.0007842238116418738,0.0005814650084571176,1.3487033617427204,0.17771978804401034,ret_EURUSD
