model,target,horizon,substrategy,cum_return,ann_return,ann_excess_ret,ann_vol,sharpe,max_drawdown,oos_r2,hit_rate,n_trades
PCR,ret_CADUSD,1,full,0.0007,0.0001,-0.0129,0.0142,-0.9064,-0.0278,-0.000556,0.5172,29
PCR,ret_CADUSD,1,long,-0.0013,-0.0003,-0.0133,0.0089,-1.4886,-0.014,-0.000556,0.5,14
PCR,ret_CADUSD,1,short,0.002,0.0004,-0.0126,0.0111,-1.1411,-0.0221,-0.000556,0.5333,15
RF,ret_CADUSD_cum10,10,full,0.0031,0.0006,-0.0124,0.0485,-0.2559,-0.1051,-0.007302,0.5116,172
RF,ret_CADUSD_cum10,10,long,-0.0957,-0.0193,-0.0323,0.0459,-0.7045,-0.1561,-0.007302,0.5114,88
RF,ret_CADUSD_cum10,10,short,0.1106,0.0205,0.0075,0.0456,0.1649,-0.0748,-0.007302,0.5119,84
RF,ret_CADUSD_cum15,15,full,-0.0848,-0.017,-0.0301,0.0467,-0.6429,-0.1877,-0.005801,0.5104,192
RF,ret_CADUSD_cum15,15,long,-0.1155,-0.0235,-0.0365,0.0528,-0.6926,-0.2002,-0.005801,0.4757,103
RF,ret_CADUSD_cum15,15,short,0.0189,0.0036,-0.0094,0.0504,-0.1863,-0.0585,-0.005801,0.5506,89
PCR,ret_CADUSD_cum3,3,full,-0.0165,-0.0032,-0.0162,0.0066,-2.464,-0.0191,-0.000954,0.25,4
PCR,ret_CADUSD_cum3,3,long,0.0,0.0,-0.013,0.0,,0.0,-0.000954,,0
PCR,ret_CADUSD_cum3,3,short,-0.0165,-0.0032,-0.0162,0.0066,-2.464,-0.0191,-0.000954,0.25,4
RF,ret_EURUSD_cum15,15,full,-0.0435,-0.0086,-0.0216,0.0708,-0.305,-0.223,-0.0049,0.4839,310
RF,ret_EURUSD_cum15,15,long,-0.0001,-0.0,-0.013,0.0116,-1.1228,-0.037,-0.0049,0.3333,3
RF,ret_EURUSD_cum15,15,short,-0.038,-0.0075,-0.0205,0.071,-0.2886,-0.2199,-0.0049,0.4853,307
LGB,ret_GBPUSD_cum15,15,full,-0.1081,-0.0219,-0.035,0.0662,-0.5281,-0.1608,-0.033117,0.4966,147
LGB,ret_GBPUSD_cum15,15,long,-0.0149,-0.0029,-0.0159,0.0541,-0.2944,-0.1488,-0.033117,0.439,41
