model,target,val_r2
LGB,ret_EURUSD_cum15,0.0680308249702035
Bwd (CV),ret_XLE_cum5,0.0405467782743202
Fwd (CV),ret_XLE_cum5,0.0405467782743202
Bwd (CV),ret_XLK_cum5,0.0396729958575076
Fwd (CV),ret_XLK_cum5,0.0376581356040155
PLS,ret_ZT_cum3,0.0329569973145446
Fwd (CV),ret_GSPC_cum3,0.0315471608837281
Fwd (CV),ret_XLV_cum5,0.0302656038043765
Bwd (CV),ret_RUT_cum5,0.0258398054856342
Fwd (CV),ret_XLV_cum3,0.0251378336831454
PLS,ret_ZT_cum5,0.020009350553681
Bwd (CV),ret_XLF_cum3,0.0182393003328271
Fwd (Cp),ret_ZT_cum10,0.0179171659155178
Bwd (Cp),ret_ZT_cum10,0.0179171659155178
RF,ret_EURUSD_cum15,0.0164906651826648
Bwd (Cp),ret_ZT_cum15,0.0164334251804333
Lasso,ret_ZT_cum3,0.0153753750978227
RF,ret_ZT_cum3,0.0144132644925366
LGB,ret_ZT_cum3,0.0142418154164737
Fwd (Cp),ret_ZT_cum15,0.0139935858278562
Bwd (CV),ret_GSPC_cum15,0.0136427009536688
PLS,ret_ZT_cum15,0.0112960888630103
PLS,ret_ZT_cum10,0.0099604296079202
RF,ret_ZT_cum5,0.0092546850488018
Bwd (CV),ret_RUT_cum15,0.0086450925105913
Bwd (CV),ret_XLE_cum10,0.0078159571427229
RF,ret_ZT_cum10,0.0071318433667736
Lasso,ret_ZN_cum5,0.0064823806769143
Fwd (CV),ret_XLE_cum10,0.006155146223623
Lasso,ret_ZT,0.0057453144365865
Ridge,ret_XLF_cum15,0.0057051836473948
Lasso,ret_ZT_cum15,0.0050304073989061
PCR,ret_XLF,0.0050164844319905
Lasso,ret_ZT_cum5,0.0046890724170567
Bwd (CV),ret_ZN,0.0041501200033834
Fwd (CV),ret_XLE_cum3,0.0035646742930377
LGB,ret_GBPUSD_cum15,0.0025326575689428
RF,ret_XLV,0.0025110940679012
RF,ret_ZT_cum15,0.0023904034565611
PLS,ret_ZT,0.0020685314904306
PCR,ret_GC,0.0016773379566127
PCR,ret_CADUSD,0.0016675465868319
PCR,ret_CADUSD_cum3,0.001106134435434
RF,ret_GC,0.0007962007481026
RF,ret_CADUSD_cum10,0.0006179297985694
RF,ret_CADUSD_cum15,0.0005786624144971
